gene,importance_sum,degree,importance_mean
MAPK3,0.43843165,508,0.0008630544299215782
PIK3CD,0.42268297,190,0.0022246472145381726
SRC,0.34498298,316,0.0010917182964614676
CALM3,0.31718042,232,0.001367157004002867
UBC,0.31037986,296,0.0010485806175180384
PTGS1,0.3042915,73,0.00416837653068647
PIK3R1,0.2841483,454,0.000625877325230233
MAP2K1,0.25050455,336,0.0007455492658274514
RAC1,0.2315691,291,0.0007957700908798532
ATP1B1,0.23054786,166,0.001388842531715531
PIK3CB,0.22199309,235,0.0009446514413711872
CALM1,0.21739076,247,0.0008801245375683433
RELA,0.20437723,271,0.0007541595349892479
ATP1B2,0.18559077,165,0.0011247925686113762
PPP2R5D,0.18500349,113,0.0016371990199637624
TNF,0.18317792,173,0.0010588318970851127
PRKACG,0.18113466,187,0.0009686345244473952
H2AZ2,0.17490143,63,0.00277621310854715
NUP62,0.15781198,89,0.0017731683642676708
H2BC3,0.15541445,89,0.0017462297436896335
NFKB1,0.15486655,286,0.0005414914209525902
BRAF,0.15287957,141,0.0010842522408099884
GNB4,0.14937516,89,0.0016783725344732905
PLCG1,0.14522883,233,0.0006232997122752309
MAPK8,0.1447119,308,0.00046984382070504224
ITPR1,0.14435016,173,0.0008343939664046888
H2BC6,0.14304128,88,0.0016254691237753088
HRAS,0.14106561,397,0.00035532899857768487
FGG,0.14010517,85,0.0016482961528441486
PPP2CA,0.137376,153,0.0008978823236390657
CYP2C8,0.13663347,89,0.001535207535443681
ADCY5,0.13300437,114,0.0011667049767678244
ADCY1,0.131342,124,0.0010592096274898899
RHOA,0.12940906,209,0.0006191821046993493
UBE2N,0.1292034,82,0.0015756511470166649
GNAS,0.12881058,132,0.000975837761705572
PTPN6,0.12651858,78,0.001622033042785449
PRKAG2,0.12511674,65,0.0019248728568737323
GNB1,0.12110544,156,0.0007763169228266447
H2BC13,0.12105377,88,0.0013756110248240557
PAK2,0.12061869,98,0.0012308029952097911
NUP85,0.11987698,93,0.0012889997933500557
CDC42,0.119771056,161,0.0007439196017217933
MAPK14,0.11846387,286,0.00041420932312111755
GRB2,0.11753564,386,0.0003044964851801877
PIK3R2,0.11648412,275,0.00042357861995697023
RAP1B,0.11526346,70,0.0016466208866664342
MAPK10,0.11346873,154,0.0007368099283088337
FOXO3,0.11285235,96,0.0011755453112224739
ROCK2,0.11180762,74,0.001510913811019949
MAPK1,0.11112485,522,0.00021288285595703855
RPA3,0.10965277,75,0.0014620369672775268
GGT1,0.10535132,70,0.0015050188771315984
KCNJ11,0.10455774,66,0.001584208147092299
MNAT1,0.10391917,67,0.0015510323999533013
FGB,0.10346187,79,0.0013096439121644708
FOS,0.10311748,202,0.0005104825785844633
TBK1,0.103084266,65,0.0015859117874732385
BTRC,0.10230661,96,0.0010656938732912142
MAP2K3,0.10155691,122,0.0008324337054471501
PPP2R1B,0.10105471,119,0.0008491992699999769
STAT5A,0.10002529,132,0.0007577673390959249
ADCY7,0.099738054,106,0.0009409250375234856
PRKCA,0.098788254,260,0.00037995482293459086
PPP3R1,0.09800522,67,0.0014627644819999808
GNG4,0.097682275,90,0.001085358609755834
CYP4A11,0.09625418,64,0.001503971521742642
POLR2H,0.09562686,80,0.0011953357607126236
NUP160,0.095347874,92,0.001036389933332153
IFNA13,0.09486885,55,0.0017248882488770918
PEDS1,0.09451408,54,0.0017502607294806727
CCNE1,0.09451137,92,0.001027297471528468
TRAF6,0.093662545,161,0.0005817549384158591
CSK,0.09137165,57,0.0016030113686595047
JAG1,0.09115704,58,0.0015716731291392754
FRS2,0.09113536,80,0.0011391920037567616
WNT3A,0.09076788,57,0.0015924189958656043
IQGAP1,0.090017304,58,0.001552022479731461
EGFR,0.08966604,205,0.00043739531098342525
GSK3B,0.08948376,213,0.00042011155069154193
AKT3,0.08887512,212,0.0004192222753223383
DVL3,0.08852418,55,0.001609530503099615
CCND1,0.08820457,164,0.0005378327446012962
CSNK2B,0.08818223,59,0.0014946141232878474
CCND3,0.08695945,50,0.0017391890287399292
ERBB2,0.08682453,97,0.0008950982358037811
CYP3A4,0.0866521,100,0.0008665210008621216
CDK1,0.0861212,121,0.00071174546706775
ADCY2,0.08543175,119,0.0007179138415000018
GNAI1,0.08470455,105,0.0008067099820999872
RHEB,0.08460162,54,0.0015666966361028176
PPP2R5E,0.08397235,55,0.0015267699956893921
H3C11,0.08216428,71,0.0011572433819233533
PTGS2,0.08149504,115,0.0007086525144784347
IFNA2,0.08144658,52,0.0015662803959388
SERPINE1,0.080982804,42,0.0019281620071047829
PLCB1,0.08008889,178,0.0004499375903874301
H3-3A,0.07919848,67,0.0011820668604836536
GNAI3,0.079128794,84,0.0009420094568104971
KAT5,0.078968264,56,0.0014101475743310793
IFNA5,0.07816352,51,0.0015326180294448254
DERL1,0.07711437,16,0.004819648340344429
TSC1,0.07710902,53,0.0014548871033596544
CYCS,0.07599116,99,0.0007675874865416324
SHC2,0.0759165,54,0.0014058610907307378
DYNC1H1,0.07584749,58,0.0013077153727926057
GNAO1,0.07555116,46,0.0016424165147802105
RXRA,0.075382315,88,0.0008566172116182067
PLCB2,0.07528508,117,0.0006434621973934337
CYP4F8,0.07527354,61,0.0012339925179716015
GNG12,0.07513413,107,0.0007021881152536267
FGA,0.07467004,82,0.0009106102331382473
PML,0.072990604,46,0.001586752255325732
IGF1,0.07259755,81,0.0008962660292048513
AGTR1,0.07256601,120,0.0006047167504827181
CDKN2A,0.07190042,81,0.0008876595048256862
NOS3,0.07176231,78,0.0009200295958763514
TUBAL3,0.071448006,27,0.0026462224346620066
ATP1A4,0.07129551,162,0.0004400957237791132
H2BC4,0.071103506,89,0.0007989157953958832
CHEK2,0.07100161,42,0.001690514563095002
CYP1A1,0.07096569,45,0.0015770153866873848
H2BC11,0.07081918,88,0.0008047633719715205
JUN,0.07057278,285,0.0002476237845002559
ACADM,0.070301525,57,0.00123336009289089
FAS,0.06995334,79,0.000885485282427148
PTPN11,0.06937233,199,0.00034860469138801994
FOXO1,0.06936682,92,0.0007539871756149375
CUL1,0.06897893,122,0.0005654010494224361
PC,0.068948425,50,0.0013789685070514678
PLG,0.06850353,55,0.0012455187060616234
CREBBP,0.06822149,170,0.00040130286532289843
SHC3,0.0679677,54,0.0012586610736670318
MYC,0.06683555,177,0.00037760199126550705
PARP1,0.06667022,52,0.0012821195503840079
NME7,0.06649266,32,0.0020778956823050976
HCN4,0.06642339,55,0.0012076979333704167
SLC7A6,0.066319264,37,0.0017924125532846192
PRKCB,0.06628909,209,0.00031717267760819796
TRAF3,0.065635175,66,0.0009944723411039872
PPP2R1A,0.06537811,146,0.0004477952543186815
PSMD12,0.065338954,40,0.0016334738582372665
GTF2F1,0.064697914,53,0.0012207153551983384
PRKAR1A,0.06455891,131,0.0004928160942237796
HDAC2,0.06444792,88,0.0007323626936836677
CYP2B6,0.06409214,92,0.0006966536621684613
LEF1,0.06408283,69,0.0009287366832512013
GAB2,0.0640613,79,0.0008109025185621238
STAT3,0.06378583,206,0.00030963994490290154
YWHAB,0.06377534,95,0.000671319349815971
IL18,0.06355083,49,0.0012969557119875538
CAMK2A,0.06309996,120,0.0005258329833547275
IDI1,0.06307578,41,0.0015384336797202506
CXCL8,0.06294651,92,0.0006842012314692787
GAD1,0.062884144,41,0.0015337596215852878
F2,0.06263214,89,0.000703731949409742
CYP4F3,0.06226924,59,0.0010554108579280013
ADCY3,0.062250905,108,0.0005763972661009541
CDK9,0.06212035,46,0.0013504423525022423
FGF9,0.0619544,98,0.0006321877697292639
ACE,0.061023943,47,0.0012983817686425879
ACAT2,0.06066771,50,0.0012133541703224183
DDB2,0.06047074,51,0.0011857008086700066
PSMA1,0.060397875,33,0.0018302386231494672
PSMD7,0.06024916,39,0.0015448502814158415
CYP1A2,0.060042184,68,0.0008829732918564011
PIK3CG,0.059600905,83,0.0007180831877582045
MCEE,0.059517253,35,0.0017004929482936858
RRM2,0.05911288,57,0.001037068076823887
TSEN15,0.05909093,4,0.014772732742130756
CYP4F2,0.058813345,64,0.0009189585107378662
GNAI2,0.058764424,99,0.00059358004217196
COPB1,0.05868127,33,0.0017782202498479323
TAF6,0.0585198,22,0.0026599908755584197
ITGB6,0.058454923,25,0.0023381969332695006
LMNA,0.05820835,38,0.0015317986866361217
IL6ST,0.057963062,42,0.00138007290661335
MYLK,0.057520024,80,0.0007190003059804439
KCND3,0.057441626,56,0.0010257433168590069
GRM1,0.057355106,39,0.001470643740433913
PPP2R5C,0.05678018,62,0.00091580938427679
CASP10,0.056728113,35,0.0016208032412188395
SIRT1,0.056193754,46,0.0012216033494990804
SCN10A,0.056053087,61,0.0009189030674637341
IL1B,0.055961408,118,0.00047424921797493757
SMAD6,0.055672016,25,0.0022268806397914885
CACNA1A,0.05566727,86,0.0006472938369179881
F13B,0.055612206,32,0.001737881451845169
HMOX1,0.055601817,43,0.001293065502893093
GNG2,0.05558074,104,0.0005344301820374452
ACTB,0.05550016,87,0.0006379328839395238
HSD3B2,0.055365287,35,0.0015818653362137931
KCNH2,0.055357277,57,0.0009711803051463345
KCNJ5,0.055143878,71,0.0007766743361110419
MRE11,0.055059474,51,0.0010795975286586612
CCNH,0.0549323,71,0.0007736943662166595
SOST,0.054784834,10,0.005478483438491821
RAB7A,0.054773647,45,0.001217192163070043
ST3GAL3,0.054744788,34,0.0016101408092414633
TPTEP2-CSNK1E,0.054603573,41,0.0013317944618259987
CFLAR,0.054346267,34,0.0015984196215867996
TP73,0.054090664,32,0.0016903332434594631
RFC5,0.053937815,62,0.0008699647601573698
LAMTOR2,0.053929385,27,0.0019973846221411668
MMP2,0.053561695,47,0.0011396105302141069
HSD3B1,0.053461928,37,0.001444916970826484
SCN9A,0.053395,9,0.00593277770611975
