gene_i,gene_j,pair_importance,n_shared_pathways
GTF2A1,TAF6,0.0002923936809159529,12
GNAI1,SCN1A,0.00023550806751397127,3
ATP1B1,ATP1B2,0.00022980968190300377,149
CYP2C8,PTGS1,0.00021805807014026483,48
CALM3,SCN5A,0.00020860672631839571,98
CALM1,CALM3,0.00020724227386795382,143
CALM3,KCNA5,0.00020307376735351527,539
UBA7,UBE2G1,0.00019658618782721535,3
PIK3CD,PIK3R2,0.0001938951445229889,212
ATP1B2,CALM3,0.00018841891768770803,52
ABCC8,CALM3,0.000181074271607556,147
GGT1,PTGS1,0.0001788050286364081,47
CALM3,ITPR1,0.00017394111151582345,222
H2AZ2,H2BC3,0.00017198266087503633,38
H2BC3,H2BC6,0.00016887869572457248,55
CALM3,TNNT1,0.00016531155729180517,147
NUP160,NUP62,0.00016236847240258534,116
CYP4F2,PTGS1,0.0001621999369109811,48
H2BC11,H2BC3,0.000159304735029527,165
PIK3CD,STAT3,0.0001535898946647407,36
PIK3CB,PIK3CD,0.00015226490272844738,126
PIK3R1,SYNJ1,0.00015212110337679483,16
FGB,FGG,0.00014847064937988292,108
ATP1B1,CALM3,0.00014614068736470195,52
H2AZ2,H2BC6,0.00014572852042959994,38
H2BC11,H2BC6,0.00014534477298215145,165
ATP1B1,CACNA2D2,0.0001451284898814832,1020
CALM3,HCN4,0.00014352618491378973,49
H2AZ2,H2BC11,0.00014254722121738914,114
CYP4F3,PTGS1,0.00014093768607627115,94
CALM3,KCNH2,0.00014092558164585143,147
H2BC13,H2BC3,0.0001383703547688242,55
CALM3,KCNK1,0.00013728490287394975,196
H2BC13,H2BC6,0.00013698061826517005,55
ADCY1,ADCY7,0.0001361856647003797,330
PPP2R5D,SCN1A,0.0001361519389320165,1
CYP4A11,CYP4F3,0.00013458927303666712,100
NUP160,NUP85,0.00012934222902916126,130
CCNH,MNAT1,0.00012731225028931684,153
DYNC1LI1,SERPINA1,0.00012669380049601386,4
NUP62,NUP85,0.0001264079857410394,58
ATP1B1,KCNA5,0.00012592398857416064,539
H2BC11,H2BC13,0.0001253480361942394,165
H2AZ2,H2BC13,0.00012454673634110236,38
CYP2C8,CYP4A11,0.00012130626156757474,48
ATP1B1,KCNJ11,0.00012063849981558405,51
PIK3CD,PIK3CG,0.00011972894835507511,57
CYP2C8,CYP4F3,0.00011857900219869322,96
MAPK3,SRC,0.0001185315950987878,344
KCNA5,KCNJ11,0.00011739323834102712,539
CYP4A11,PTGS1,0.00011686654177531577,45
LTA4H,PTGS1,0.00011671797227161447,92
CALY,SCN1A,0.00011449767043814063,1
CACNA2D2,CALM3,0.00011441189962092132,490
ATP1B2,CACNA2D2,0.00011396278186459976,1020
HDAC2,SAP18,0.00011389301084900605,10
ATP1B1,TNNT1,0.00011371001363664109,147
ABCC8,KCNJ11,0.00011363234680480024,168
PIK3R1,PIK3R2,0.00011073172226310972,864
ITPR1,SCN1A,0.00010959990807653715,3
CYP4F3,GGT1,0.00010822876601501719,92
INPP5K,SYNJ1,0.0001081627529734919,9
MAP2K1,MAPK3,0.00010805310064040697,300
KCNJ11,TNNT1,0.00010768035328349394,147
H2BC3,H2BC4,0.00010764862254522556,110
CALM3,SLC8A1,0.00010655291891171716,882
MAPK3,PIK3CD,0.00010469555161910728,78
GNB1,PTGS1,0.0001043965898474275,2
ITPR1,KCNJ11,0.00010363803207973203,159
FGA,FGB,0.0001035787340346904,216
H2BC4,H2BC6,0.0001033255757625362,110
CYP2C8,LTA4H,0.00010299015659143151,92
H2AZ2,H3-3A,0.00010251357750590273,30
PIK3CD,PIK3R1,0.00010173021697355025,118
KCNA5,TNNT1,0.0001017022939678945,1617
KCNA5,KCNH2,0.0001007925522546682,1650
KCNJ11,KCNK1,9.996388001076717e-05,196
