gene,degree,importance_sum,importance_mean,n_nodes
F2RL1,11,0.015856808,0.001441528,1
HTR5A,39,0.01585231,0.0012194085,3
CPSF2,64,0.015840182,0.0009900114,4
RAB39A,9,0.015837405,0.0017597117,1
SPHK2,28,0.015825002,0.00056517863,1
WAPL,24,0.015771963,0.0013143301,2
RGS9,75,0.015756534,0.00063026143,3
SOCS6,70,0.015741428,0.0011243878,5
SIRT5,7,0.015722252,0.002246036,1
ARCN1,93,0.015708467,0.00050672475,3
CYP24A1,168,0.01568796,0.0007470456,8
ITGA9,28,0.015629563,0.0005581987,1
DAGLB,12,0.015603076,0.0013002564,1
WWP2,15,0.015595416,0.0010396944,1
ADRA1D,95,0.015590055,0.0008205292,5
TGOLN2,12,0.015581536,0.0012984613,1
SDC2,80,0.015579719,0.00038949298,2
MGLL,22,0.015549517,0.00070679624,1
CASP2,31,0.015541808,0.00050134864,1
WWOX,121,0.015529611,0.0014117828,11
PLXNA2,77,0.0155210225,0.0014110021,7
MTR,43,0.015500071,0.00036046677,1
CXCL11,18,0.015488426,0.00086046814,1
UQCRFS1,144,0.015471542,0.0008595302,8
AGPAT4,24,0.015426358,0.0012855299,2
RASSF1,12,0.015416991,0.0012847492,1
PLXNB1,12,0.015408932,0.0012840776,1
PTCH1,112,0.015396925,0.00054989016,4
KIF4B,169,0.015396366,0.0011843358,13
PSAT1,168,0.015389858,0.0007328504,8
ITGB6,50,0.015340893,0.0006136357,2
LIN7A,18,0.015329618,0.001703291,2
PRDM9,27,0.015302788,0.0017003096,3
PAPSS1,105,0.0152816,0.00072769524,5
E2F7,54,0.015280866,0.001697874,6
PHGDH,34,0.015267312,0.0008980772,2
E2F8,7,0.015254377,0.0021791968,1
GGA3,8,0.015250399,0.0019062998,1
GUCA1A,9,0.015225136,0.0016916818,1
GPC5,72,0.015218683,0.00084548234,4
GALC,372,0.015217292,0.0012681077,31
COL6A3,23,0.015209363,0.00066127663,1
AVPR1A,28,0.015179259,0.0010842328,2
SRSF6,28,0.015175826,0.0010839875,2
TRMT112,13,0.015162444,0.0011663418,1
GPHN,22,0.015154641,0.0013776948,2
PGM1,100,0.015120202,0.00030240405,2
MTNR1A,11,0.015100603,0.001372782,1
ADRA2C,42,0.015094446,0.0007187831,2
RGMA,110,0.01507945,0.001507945,11
PRCP,8,0.015057597,0.0018821997,1
CNOT6,10,0.01505271,0.001505271,1
GDA,30,0.015038024,0.00050126744,1
GABPA,8,0.015027108,0.0018783885,1
VIPR2,34,0.014973303,0.00088078255,2
MFGE8,30,0.014954173,0.0014954173,3
ITGB8,110,0.014915046,0.0006779566,5
MUC4,9,0.014886489,0.0016540544,1
TFAP2B,90,0.014885869,0.0009923913,6
TENT4A,8,0.014869726,0.0018587158,1
PLXNA1,28,0.014868549,0.0010620393,2
BBS5,8,0.014853664,0.001856708,1
DEK,40,0.014823934,0.0014823935,4
DGKQ,26,0.014819377,0.0011399521,2
IL5,600,0.014815502,0.00029631003,12
CAMKK2,36,0.014789677,0.00041082437,1
CTSH,99,0.01477561,0.0016417343,11
TNFRSF11A,48,0.014772077,0.0009232548,3
FUCA2,18,0.014746964,0.0016385517,2
SLC22A3,26,0.01474215,0.0011340115,2
MRAS,25,0.014714023,0.00058856094,1
CPLX1,22,0.014712665,0.001337515,2
HYAL1,20,0.0147055555,0.0014705556,2
JAK3,77,0.014704858,0.00019097218,1
CROT,24,0.014685577,0.0012237981,2
CD9,84,0.014671243,0.0010479459,6
