gene_i,gene_j,pair_importance,n_shared_pathways
CYP4F2,CYP4F3,8.892819584560563e-05,110
FGG,PLG,8.737087905963392e-05,32
HCN4,KCNJ11,8.561098818482549e-05,49
CYP4F2,GGT1,8.551036454651495e-05,46
ATP1A4,SLC12A3,8.510932689093477e-05,28
ATP1A4,HCN4,8.507146072013136e-05,49
PEDS1,UBE2N,8.477202251278015e-05,22
ABCC8,TNNT1,8.476812143488733e-05,441
MEN1,SMARCA4,8.388220157939941e-05,1
ATP1A4,OPRM1,8.364999909517236e-05,312
HCN4,TNNT1,8.339319398231737e-05,147
RHOA,SRC,8.143537826121872e-05,68
DCTN2,PPP2CA,8.066501675330073e-05,2
CYP2C8,CYP4F2,7.992335059547884e-05,50
ACADS,ACADSB,7.964416997987996e-05,186
ACADM,ACADSB,7.92277904272017e-05,102
ABCC8,CACNA2D2,7.812813063097153e-05,1680
ITPR1,TNNT1,7.786100881119908e-05,441
CYP2C8,CYP4F8,7.764659814712971e-05,54
KCNH2,KCNJ11,7.750867879883123e-05,147
B4GALT5,COPA,7.74957829029174e-05,22
GNB4,GNG2,7.747971007906016e-05,132
ATP1B1,DRD1,7.72295958857099e-05,364
H3C11,SMARCA4,7.701753202127293e-05,3
ABCC8,HCN4,7.681722700621692e-05,147
HRAS,MAPK3,7.681104651108966e-05,2128
ATP1A4,RYR2,7.606121241891486e-05,104
MAP2K1,MAPK3,7.598541478367657e-05,300
CACNA2D2,KCNJ11,7.544914865746481e-05,510
H2BC3,SMARCA4,7.530547009082511e-05,1
CALM1,TNNT1,7.499251375773831e-05,147
ATP1B1,TNNT1,7.496909764933186e-05,147
KCNH2,TNNT1,7.496806283793191e-05,441
CACNA2D2,TNNT1,7.455331563442131e-05,1470
NFKBIA,RELA,7.442565955764263e-05,8262
ITPR1,KCNJ11,7.430639588647144e-05,159
ADCY1,ADCY8,7.42760733586694e-05,1888
CEP78,PPP2CA,7.399519863326987e-05,2
NUP160,NUP93,7.395953382566159e-05,116
SCN5A,TNNT1,7.387488652586122e-05,294
ERBIN,EREG,7.314902224392795e-05,10
HRAS,PIK3R1,7.27080677278633e-05,2160
CALM1,ITPR1,7.22538230511496e-05,225
KCNK1,TNNT1,7.217030824917172e-05,588
IFNA13,IFNA5,7.205310095144413e-05,9
ADCY7,ADCY8,7.15207918081735e-05,2592
ATP1B2,KCNJ11,7.145858502921598e-05,51
CYP4F2,LTA4H,7.142791677258731e-05,94
KCNJ11,KCNK1,7.135319986134592e-05,196
ATP1B1,PCSK2,7.116505736692313e-05,260
RAC1,RHOA,7.07869202970779e-05,126
LEF1,SMARCA4,7.058808083115764e-05,2
KCNJ11,SCN5A,7.045584607290323e-05,98
PPP2CA,UBC,7.024301741048733e-05,24
MNAT1,POLR2H,7.004929549170313e-05,33
ATP1B1,KCNJ11,6.97791976325135e-05,51
PPP2R5D,PPP2R5E,6.949705851866383e-05,22
RFC5,RPA3,6.927000748834997e-05,92
ABCC8,SCN5A,6.903730966052272e-05,294
ABCC8,ATP1B1,6.889073014811527e-05,150
ATP1A4,TPM1,6.878681400075888e-05,50
PLG,VKORC1,6.87865801864973e-05,24
MAPK1,MAPK3,6.848660947383262e-05,1040
ABCC8,ITPR1,6.837241156884174e-05,459
PIK3R1,RAC1,6.837134924631482e-05,220
ATP1A4,SLC1A1,6.828609047682464e-05,728
NR3C2,SLC22A2,6.82146193265798e-05,700
KCNJ11,SLC8A1,6.817055003819874e-05,900
ABCC8,KCNH2,6.814755908378918e-05,441
RAP1B,SRC,6.791566784691838e-05,48
HCN4,KCNH2,6.762851689325518e-05,147
SLC22A2,SLC7A6,6.762771128521194e-05,140
ATP1B1,ITPR1,6.745442861398212e-05,162
FGB,PLG,6.742744704518744e-05,64
KCNJ11,RYR2,6.670381976370265e-05,102
SLC8A1,TNNT1,6.669102115589538e-05,2646
H2BC13,H3-3A,6.667975651025726e-05,30
ITPR1,KCNH2,6.660927085749141e-05,441
ABCC8,KCNK1,6.651458250141647e-05,588
NR3C2,SLC7A6,6.641433531182628e-05,140
NUP160,SEH1L,6.615474628278228e-05,1720
CYP2C8,UGT2B7,6.593008264895936e-05,12
ATP1B2,TNNT1,6.579425234409797e-05,147
RYR2,TNNT1,6.563531540685191e-05,294
ATP1A4,ITPR1,6.557551422883518e-05,162
CSNK2A2,CSNK2B,6.556030785039486e-05,69
CLCNKA,NR3C2,6.548279325850892e-05,140
CACNA2D2,ITPR1,6.523618714390067e-05,1530
ATP1B1,KCNH2,6.510389811431132e-05,147
CEP250,PPP2CA,6.483436078497107e-05,2
HCN4,KCNK1,6.436160550549186e-05,196
FGB,VKORC1,6.433422550100598e-05,48
ATP1B1,HCN4,6.433104061409622e-05,49
CACNA2D2,HCN4,6.397843633490583e-05,490
ADCY1,ADCY3,6.394282248822769e-05,216
CLCNKA,SLC7A6,6.361616117445124e-05,28
CYP4F3,CYP4F8,6.360649363545967e-05,102
H2AZ2,SMARCA4,6.351742194965482e-05,1
HCN4,SCN5A,6.349301938790575e-05,98
CYP2C8,PTGS2,6.34729540220369e-05,100
COPA,RPN1,6.346283771563321e-05,1
ATP1A4,GRIN3A,6.339255638482907e-05,312
CLCNKA,SLC22A2,6.333285649855469e-05,140
DRD1,PCSK2,6.325665858858935e-05,1820
AQP3,SLC7A6,6.323462088086984e-05,56
HSPB1,NUP93,6.315754363583892e-05,2
ITPR1,KCNK1,6.312193378437985e-05,588
ABCC8,RYR2,6.309757250679698e-05,300
FGG,VKORC1,6.307913278646993e-05,24
ITGA1,TCF7L2,6.306957030528808e-05,24
H2AZ2,H2BC4,6.277865644399583e-05,76
MAPRE1,PPP2CA,6.253045453163963e-05,10
COPA,FUT8,6.246319137354866e-05,14
GRIN2A,PCSK2,6.241171216420444e-05,1820
KCNH2,KCNK1,6.225547933336444e-05,588
CALM1,KCNJ11,6.217379327244643e-05,49
H2BC6,H3-3A,6.211014031642925e-05,30
KCNA5,TNNT1,6.201729042884071e-05,1617
CYP4A11,CYP4F8,6.199922499372512e-05,49
ADCY3,ADCY7,6.193601602646111e-05,324
CYP4F3,PTGS2,6.191642788547572e-05,184
ATP1B1,SCN5A,6.163181607887758e-05,98
CYP1A1,CYP1A2,6.141212489485515e-05,64
KCNA5,KCNJ11,6.128128146549941e-05,539
CACNA2D2,KCNH2,6.125739851913508e-05,1470
AQP3,NR3C2,6.118167966937538e-05,280
SMARCA4,SMARCB1,6.111132089436921e-05,8
CALM1,HCN4,6.085019666235425e-05,49
HCN4,ITPR1,6.0762236321980585e-05,147
CCNH,POLR2H,6.0748968006799076e-05,99
ATP1A4,TNNT1,6.061755027645804e-05,147
CYP1A2,CYP2C8,6.05951274648131e-05,50
AQP3,SLC22A2,6.042859689188162e-05,280
CYP4F8,GGT1,6.034351105177471e-05,45
RPLP2,RPS29,6.023525515149765e-05,144
ABCC8,SLC8A1,6.011474178973074e-05,2646
CACNA2D2,SCN5A,6.0048303031266684e-05,1000
KCNH2,SCN5A,5.9969574275011796e-05,294
ABCC8,ATP1B2,5.994739691865073e-05,150
H2BC11,H3-3A,5.9945571310088264e-05,90
AQP3,CLCNKA,5.987105218974165e-05,56
ADCY1,PRKACG,5.9819187918197514e-05,110
PIK3CB,PIK3CD,5.981176852722092e-05,126
KCNK1,SCN5A,5.977209032102457e-05,392
DRD1,GRIN2A,5.964247684797896e-05,2842
KAT5,SMARCA4,5.9605983551591635e-05,1
LTA4H,PTGS2,5.938379017284348e-05,196
CALM1,KCNH2,5.927178092919594e-05,147
ATP1B1,KCNK1,5.9238284367657545e-05,196
ATP1B2,SLC7A6,5.918041014041364e-05,29
PIK3R1,PIK3R2,5.9177559251457934e-05,864
ATP1B2,SLC22A2,5.917573747531435e-05,140
ATP1B2,NR3C2,5.916846490059413e-05,145
ATP1B1,CALM1,5.916145332252043e-05,52
ABCC8,CALM1,5.898708439862806e-05,147
CYP2C8,CYP2C9,5.8984633140468645e-05,38
HCN4,RYR2,5.897949219302312e-05,98
F13B,FGG,5.8787596905141015e-05,28
F13A1,FGG,5.872452813133755e-05,145
GGT1,PTGS2,5.869884271904324e-05,94
ABCC8,KCNA5,5.861064636337841e-05,1617
CACNA2D2,SLC8A1,5.8587554655087694e-05,9720
ATP1B2,HCN4,5.858189189034135e-05,49
FDFT1,MSMO1,5.8572760723241135e-05,132
ATP1A4,KCNE2,5.844130768881918e-05,150
CACNA2D2,KCNK1,5.833082192323422e-05,1960
ATP1B1,HTR1A,5.8266003936515137e-05,728
JAK2,STAT3,5.8247651338223055e-05,2961
ITPR1,SLC8A1,5.814766940620131e-05,2808
ATP1B2,ITPR1,5.812808885395764e-05,162
ATP1B1,SLC8A1,5.802052809866534e-05,954
RPA3,UBC,5.776527294187872e-05,29
CACNA2D2,RYR2,5.775584425335983e-05,1080
HCN4,SLC8A1,5.7376051487840264e-05,882
CACNA2D2,DRD1,5.7238085917973856e-05,3640
ITPR1,SCN5A,5.7212168692567734e-05,294
ATP1B2,DRD1,5.698161659263766e-05,364
CYP4A11,PTGS2,5.6881481623638486e-05,88
ATP1B1,GRIN2A,5.6697833298997163e-05,364
RPL23,RPS29,5.663793877822704e-05,144
PIK3R1,STAT3,5.651167066845765e-05,312
GML,NUP93,5.648533754698537e-05,2
CCNH,PPP2CA,5.647351064460201e-05,21
B4GALT1,COPA,5.638966961774017e-05,6
ATP1B2,PCSK2,5.624411930652412e-05,260
HCN4,KCNA5,5.6160169210368113e-05,539
FKBPL,PPP2CA,5.61463220094538e-05,4
CACNA2D2,CALM1,5.559071298919071e-05,490
HMGCR,MSMO1,5.558653914716771e-05,58
ADCY1,GNAS,5.5387500650053156e-05,152
ALG10B,ATP1A4,5.5130213260676577e-05,147
DNAJC7,NUP93,5.5084732075272314e-05,2
H2BC11,SMARCA4,5.49140543929146e-05,3
CACNA2D2,PCSK2,5.490256614459447e-05,2600
PPP2CA,TUBG1,5.47727631062811e-05,12
CYP2B6,CYP2C8,5.467026262712116e-05,65
ATP1A4,GNAS,5.462019611995189e-05,14
NUP85,NUP93,5.445118095969933e-05,58
RYR2,SCN5A,5.4394854492061454e-05,196
CALM1,RYR2,5.4142830202053016e-05,100
KCNA5,KCNH2,5.406560381676755e-05,1650
POLR2D,POLR2H,5.400690878103534e-05,44
ATP1A4,PLCB2,5.3918860761543986e-05,14
SLC22A2,SLC38A4,5.388356015180693e-05,150
KCNH2,SLC8A1,5.3862628646670595e-05,2646
MAPK3,RAC1,5.383650719197671e-05,232
ATP2C2,ELF5,5.380811359044502e-05,4
DRD1,HTR1A,5.380771602331256e-05,5292
H2AZ2,H3-3A,5.366527113159769e-05,30
CYP2C18,CYP2C8,5.353473493130423e-05,16
RYR2,SLC8A1,5.353368111349912e-05,1980
LAMC1,SPP1,5.352737249846397e-05,28
KCNH2,RYR2,5.348207302076762e-05,294
AQP3,ATP1B2,5.342668507241077e-05,56
FGG,SRC,5.332019098358565e-05,30
ATP1B1,SLC7A6,5.320299782951565e-05,29
CDC16,UBE2S,5.311418135645063e-05,100
ACADSB,IVD,5.306352053461675e-05,66
ATP1B2,KCNH2,5.300751120492405e-05,147
FGF20,FRS2,5.296649972760487e-05,952
KCNK1,SLC8A1,5.289564855254675e-05,3528
MAPK3,STAT3,5.289426249116026e-05,276
MAPK3,RELA,5.2869941126132414e-05,152
ATP1A4,KCND2,5.286323228134543e-05,104
ATP1B2,KCNK1,5.2823509477384345e-05,196
ACADSB,MCEE,5.2772755526990046e-05,57
RPL10L,RPS29,5.276185708331157e-05,272
BRAF,MAPK3,5.24505954796018e-05,128
BRAF,SRC,5.238936742868114e-05,70
EGFR,SRC,5.227528232266155e-05,228
ADCY5,ADCY8,5.219685402676925e-05,896
CYP1A1,CYP2C8,5.215616982923166e-05,20
PPP2R1B,PPP2R5D,5.211500542223746e-05,36
HSPA1B,NUP93,5.210627841023552e-05,2
RPL31,RPS29,5.199741861436867e-05,144
CEP192,PPP2CA,5.195263906898617e-05,2
GMPR,GUCY1B1,5.1918748403823045e-05,38
KCNK1,RYR2,5.185803208176444e-05,392
NUP62,NUP93,5.180239968502129e-05,58
ATP1B2,CALM1,5.179330797089321e-05,52
ATP1A4,KCNQ1,5.174551775059084e-05,50
SCN5A,SLC8A1,5.164318471201994e-05,1764
ATP1B2,CLCNKA,5.126045653369715e-05,28
CALM1,KCNK1,5.1245997792447734e-05,196
NUP62,SEH1L,5.1234528478063046e-05,720
MAPK14,MAPK3,5.114727433940826e-05,252
PIK3R1,PTPN11,5.106548987709061e-05,966
CYP2C8,PTGS1,5.1024657021114805e-05,48
RPL31,RPLP2,5.079857507794827e-05,18
ATP1B1,NR3C2,5.075080144059108e-05,145
ATP1B1,KCNA5,5.074099166434458e-05,539
ATP1B1,KCNJ5,5.0581407047056715e-05,50
KCNA5,SCN5A,5.0571171810601933e-05,1078
ITPR1,RYR2,5.051990967466868e-05,312
SLC22A2,SLC3A1,5.048205153395137e-05,300
CACNA1H,KCNJ11,5.0429143474052356e-05,100
UGT2B15,UGT2B7,5.039899931658445e-05,42
NR3C2,SLC12A3,5.0310234516626196e-05,140
ITPR1,KCNA5,5.029590602724781e-05,1617
ATP1B1,RYR2,5.0241174362364305e-05,104
NUP85,SEH1L,5.019231935289769e-05,860
KCNA5,KCNK1,5.0160890833125e-05,2156
SLC3A1,SLC7A6,5.013431842804117e-05,58
ATP1A4,KCNH2,4.988859926866301e-05,147
PIK3R1,PLCG1,4.9872919104317474e-05,162
CSK,SRC,4.982522809293677e-05,38
ATP1A4,ATP2B1,4.974321937042947e-05,6
MAP2K4,UBE2N,4.971956559662755e-05,24
RAB11B,RAB38,4.971189913839085e-05,10
HTR1A,PCSK2,4.9661712907752286e-05,3640
ATP1B2,SLC8A1,4.956899375692365e-05,954
CYP1A1,CYP2C18,4.953990480061066e-05,15
ATP1B1,SLC22A2,4.94467457294201e-05,145
CACNA2D2,GRIN2A,4.9403127314499825e-05,3640
GNAI2,GNAO1,4.9396550637625936e-05,78
F13A1,VKORC1,4.938515180299419e-05,120
CACNA2D2,KCNA5,4.937829065466522e-05,5390
FGA,VKORC1,4.926466264798535e-05,48
H2BC3,H3C11,4.910470039987125e-05,31
BLM,RPA3,4.902497688791252e-05,36
F13A1,FGB,4.897702023024357e-05,290
CALM1,CALM3,4.895977778157125e-05,143
UGT1A1,UGT2B7,4.890585281681469e-05,24
NR3C2,SLC38A4,4.882988022578208e-05,140
FRS2,PIK3R1,4.8794850626693656e-05,136
RPL23,RPLP2,4.8754898351432985e-05,18
ATP1B2,SCN5A,4.8684320825831406e-05,98
ATP2C2,CCND1,4.862982074017169e-05,8
COPA,RPN2,4.8613917897455394e-05,1
RPL10L,RPLP2,4.860773636039539e-05,34
ADCY2,ADCY7,4.854528248499079e-05,162
SRC,YES1,4.8511321567206236e-05,60
SRC,UBC,4.838354722336291e-05,52
ATP1B2,RYR2,4.8369465710212944e-05,104
ACADM,MCEE,4.8344093650065645e-05,25
NR3C2,SLC3A1,4.826037865508226e-05,280
NUP93,RPTOR,4.820640401703713e-05,2
H2BC3,H3-3A,4.811407574845106e-05,30
PIK3CD,PIK3R1,4.806401258447557e-05,118
ADCY7,PRKACG,4.788085900024145e-05,126
ATP1B2,SLC12A3,4.7877385020378416e-05,28
ATP1B1,CLCNKA,4.7793169554832815e-05,28
ADCY3,ADCY5,4.776870847639919e-05,108
ACADS,MCEE,4.774623905332703e-05,42
F13A1,PLG,4.763839506729539e-05,130
JAK2,SRC,4.7607599894553554e-05,1092
CALM1,SLC8A1,4.758684190314514e-05,882
RPL27,RPS29,4.751686077104737e-05,144
BLM,MRE11,4.747099797519638e-05,36
AGTR1,KCNJ11,4.738723050163457e-05,98
PTPN11,SRC,4.72666123940274e-05,546
IFNA13,IFNA2,4.72520134253418e-05,9
KCNJ3,TNNT1,4.690145548444669e-05,882
COPA,COPB1,4.6869020374902884e-05,23
ATP1B2,KCNA5,4.68689181831688e-05,539
RHEB,TSC1,4.685226953426991e-05,19
FGB,RAP1B,4.679275768892932e-05,26
FRS2,PTPN11,4.6651320954742185e-05,504
ATP1B2,HTR1A,4.6632124738497136e-05,728
FGA,PLG,4.6587193539338045e-05,64
CALM1,SCN5A,4.65740016769578e-05,98
GRIN2A,HTR1A,4.646443917613651e-05,5096
ERBB3,ERBIN,4.641170040713934e-05,40
ATP1A4,PLCB1,4.634251175834143e-05,56
DBH,PNMT,4.621499932611073e-05,18
PIK3R1,RELA,4.611842059037974e-05,128
IFNAR1,IFNAR2,4.609773868634908e-05,78
CYP4F3,PTGS1,4.6042342580113194e-05,94
ACAT2,MSMO1,4.600548634314805e-05,52
ATP1B1,CACNA1A,4.5941045290209814e-05,52
GTF2H4,MNAT1,4.587038490155848e-05,38
NFKB1,RELA,4.579486048150727e-05,172
CYP1A2,CYP3A4,4.5691474717224345e-05,84
CACNA2D2,HTR1A,4.566561141566466e-05,7280
ATP1A4,KCNJ11,4.561976821326752e-05,51
MAP2K1,SRC,4.560433116435059e-05,108
NEDD1,PPP2CA,4.55932305446335e-05,28
CLCNKA,SLC38A4,4.548827252589746e-05,28
PHLDA1,PPP2CA,4.546068735322706e-05,8
ATP1A4,BDKRB2,4.5400058525046916e-05,4
CYP1A2,CYP2S1,4.534121902477484e-05,64
CUL1,UBC,4.5300461289327194e-05,120
RPL10L,RPL31,4.528544221460429e-05,34
GRB2,SRC,4.525806739515484e-05,158
HSD3B1,HSD3B2,4.5173433946388286e-05,29
ADCY7,GNAS,4.5098763495103146e-05,168
KCNA5,SLC8A1,4.507762006205461e-05,9702
PC,PDHB,4.501959909624814e-05,264
ATP1A4,CHRM2,4.497073034891894e-05,392
SLC12A3,SLC22A2,4.492997689788947e-05,140
GSTT2,UGT2B7,4.490402171444807e-05,5
ALMS1,PPP2CA,4.4860780349154084e-05,2
CEP250,DCTN2,4.481592227278952e-05,11
MAPK3,PIK3CD,4.478653907138974e-05,78
FGG,RAP1B,4.477344740649869e-05,13
AGTR1,TNNT1,4.474899179433226e-05,294
SLC38A4,SLC7A6,4.465837694710151e-05,30
GNAI1,GNAI2,4.4594937018986505e-05,405
ADCY1,ADCY2,4.447952041120029e-05,108
PPP1R12A,PPP2CA,4.444971518324792e-05,3
POLR2E,POLR2H,4.435289984523952e-05,567
ATP1B2,GRIN2A,4.418435206572203e-05,364
GNB4,GNG4,4.414716764694626e-05,44
NUP93,RPA3,4.414543441555452e-05,2
CALM1,KCNA5,4.409356773551448e-05,539
KCNA5,RYR2,4.4016297665244585e-05,1078
SLC12A3,SLC7A6,4.4011381311381825e-05,28
ATP1B2,SLC3A1,4.399609411076533e-05,56
CYP4F2,CYP4F8,4.3739588268754126e-05,51
KCNJ11,TPM1,4.373085680242639e-05,49
ATP1A4,MYLK,4.3559951105333117e-05,50
GMPR,RRM2,4.352065053492282e-05,20
MAPK14,SRC,4.347043939353923e-05,120
GUCY1B1,PDE10A,4.3441197184690417e-05,168
CYP1A2,CYP2C18,4.339073268244675e-05,30
CEP152,PPP2CA,4.336596157372696e-05,2
PPP2CA,TUBGCP3,4.328214092907956e-05,4
ADCY5,PRKACG,4.3241924918446806e-05,48
H2BC4,H3-3A,4.320988047167018e-05,60
RELA,TNF,4.315318473402385e-05,64
CACNA1A,DRD1,4.308415305224823e-05,378
GMPR,PDE10A,4.305979335939014e-05,76
KCNJ11,KCNJ3,4.3038670333018135e-05,306
RPL10L,RPL23,4.2996387102256506e-05,34
ACADSB,MCCC2,4.2908846722866656e-05,60
F13B,VKORC1,4.280173447934743e-05,24
CYP2C8,CYP2S1,4.2736426330236554e-05,26
CYP4F8,LTA4H,4.268524893043246e-05,90
ATP1A4,SCNN1A,4.259672243255116e-05,174
COPA,MAN2A2,4.2565143189676746e-05,2
JAG1,PSEN2,4.253421121841461e-05,68
AQP3,SLC38A4,4.250745450825374e-05,56
MNAT1,UBC,4.246299552512767e-05,18
ALOX5,GGT1,4.2392380818018216e-05,96
KCNJ11,KCNJ4,4.238881162543372e-05,100
CLCNKA,SLC3A1,4.238108877402391e-05,56
PIK3CB,PIK3R1,4.2378068495264615e-05,368
ERCC2,MNAT1,4.237694145439036e-05,38
MCM3,MCM6,4.233105341574136e-05,60
ABCC8,KCNJ3,4.220412765639661e-05,900
UBC,UBE2N,4.216450141569794e-05,19
ABCC8,SNTB1,4.215599486601147e-05,1029
CCNH,ERCC2,4.212731806576414e-05,114
ABCC8,AGTR1,4.2093938168809415e-05,294
ANKRD27,RAB11B,4.2059484258061275e-05,1
FGB,SRC,4.2055787209289985e-05,60
PIK3CD,PIK3R2,4.200140788776941e-05,212
F13B,PLG,4.1866509391752516e-05,27
ATP1A4,KCNJ2,4.185795884184115e-05,850
FYN,SRC,4.18392209312956e-05,2268
ATP1B1,OPRM1,4.179062593913374e-05,312
CYP11A1,HSD3B1,4.172383706446681e-05,22
SMARCA4,WDR77,4.162693949183449e-05,1
H2BC6,H3C11,4.1600383781925654e-05,31
AQP3,SLC3A1,4.159915774860044e-05,112
DUT,HSD17B4,4.159344927501252e-05,2
AGTR1,SCN5A,4.1529888481793564e-05,196
AQP3,ATP1B1,4.1369909556943085e-05,56
RPL31,RPLP1,4.135873984267846e-05,18
ADCY2,ADCY5,4.135500908530876e-05,54
DYNC1I2,PPP2CA,4.13048707739571e-05,40
GNB1,GNG2,4.1247761917518125e-05,174
CACNA1H,TNNT1,4.120291601943574e-05,294
CYP4A11,PTGIS,4.116498547901415e-05,94
DEPDC1B,RAB7A,4.1140107656198466e-05,14
RPLP1,RPLP2,4.10817047367118e-05,18
ADCY7,GNAI2,4.107435914994332e-05,180
KCND3,TNNT1,4.106612418686151e-05,147
CYP4F2,PTGS2,4.105017685375814e-05,94
FOS,MAPK3,4.10153737458571e-05,448
FRS2,SRC,4.094347079736105e-05,68
GNB1,GNB4,4.089808046270349e-05,44
ECHS1,MCCC2,4.082671840681222e-05,21
IVD,MCEE,4.068784401489722e-05,18
HSD3B1,LDLR,4.0683343399905425e-05,3
PLCG1,SRC,4.065797307626143e-05,86
CACNA1A,PCSK2,4.060217790278209e-05,260
ATP1A4,SLC38A4,4.060200059228473e-05,28
AGTR1,ITPR1,4.055367036452292e-05,312
IVD,MCCC2,4.0496015664359675e-05,22
CYP1A2,UGT2B7,4.048767146089434e-05,26
HCN4,KCNJ3,4.044466914702773e-05,294
ACADS,MCCC1,4.0425548741978106e-05,200
KAT5,MRE11,4.0425066771376805e-05,22
CYP4A11,PTGS1,4.0390336833284746e-05,45
CACNA1A,GRIN2A,4.0377282103004087e-05,378
CTDP1,NELFE,4.028594526239715e-05,108
LAMB2,RHOA,4.0256775264424505e-05,2
LMNA,TCF7L2,4.021600399458277e-05,24
F13B,FGB,4.021015328783614e-05,58
AGTR1,HCN4,4.0204510913188773e-05,98
ADCY9,ATP1A4,4.0166811706617185e-05,14
CLCNKA,SLC12A3,4.01194416834727e-05,28
ACADS,ECHS1,4.011387323360797e-05,90
CACNA1A,CACNA2D2,4.0088313903869145e-05,600
DDX58,IFNA13,4.0047260908428195e-05,6
F13A1,F13B,3.999269715634912e-05,135
RPLP1,RPS29,3.995686674513818e-05,144
GGT1,PTGIS,3.99316271547101e-05,92
AGTR1,KCNH2,3.9838071609137105e-05,294
SRC,STAT3,3.980831427667179e-05,156
ATP1B2,SLC38A4,3.979470425054428e-05,28
UGT1A10,UGT2B7,3.979435294379005e-05,66
ADCY5,GNAS,3.9707537994853465e-05,70
MRE11,RFC5,3.961688600656599e-05,26
GGT1,PTGS1,3.961200166945067e-05,47
GUCY1B1,RRM2,3.959110546181144e-05,38
GNG2,GNG4,3.952508880230611e-05,132
ABCC8,CACNA1H,3.9452840814332514e-05,294
ITPR1,KCNJ3,3.942211875363252e-05,990
LTA4H,PTGS1,3.942051276395464e-05,92
GNB4,GNG12,3.9393918493890734e-05,88
ACADM,IVD,3.934463380694808e-05,20
KCND3,KCNJ11,3.9314755969854787e-05,49
ADCY7,GNG2,3.925575386532477e-05,117
RPL23,RPL27,3.9251867701040055e-05,18
RPL10L,RPLP1,3.916409429649548e-05,34
CACNA1H,ITPR1,3.91520215203737e-05,318
BCAR1,SRC,3.912640705312862e-05,448
FDFT1,HMGCR,3.909076370345321e-05,68
F5,FGG,3.9087551954253286e-05,64
