gene_i,gene_j,pair_importance,n_shared_pathways
ATP1A4,ATP1B2,0.0005833331529172174,148
ATP1A4,ATP1B1,0.0005164932727635752,148
ATP1A4,GRIN2A,0.00025431911722700786,364
ATP1A4,SLC7A6,0.00023035049870188875,28
ATP1A4,CLCNKA,0.00021022670328473344,28
AQP3,ATP1A4,0.00019332517896525553,56
ATP1A4,SLC22A2,0.00018818416483592208,140
ATP1B1,ATP1B2,0.00018647636559854242,149
ATP1A4,SLC8A1,0.00017147144715935633,954
ATP1A4,NR3C2,0.00015870702020691723,145
ATP1A4,CACNA2D2,0.00015585539749362665,1020
ATP1A4,KCNK1,0.0001523195360999525,196
ATP1A4,PCSK2,0.00015093393250754545,260
NUP160,NUP62,0.00015086172355971428,116
H2BC3,H2BC6,0.0001456363744480882,55
NUP160,NUP85,0.00014371227307241607,130
H2BC11,H2BC3,0.0001414670699118048,165
H2BC13,H2BC6,0.00014098215993296748,55
CCNH,MNAT1,0.0001408391771152336,153
H2BC11,H2BC6,0.00014078039652757704,165
H2BC13,H2BC3,0.00013985485433209988,55
CYP4A11,CYP4F3,0.00013124325494051625,100
H2BC11,H2BC13,0.00013013354141744315,165
FGB,FGG,0.00012975573016310582,108
ATP1B1,CACNA2D2,0.00012792732127411225,1020
CYP4A11,GGT1,0.0001253192306966966,44
ADCY1,ADCY7,0.00012465078104673122,330
MAPK3,SRC,0.0001201215073399764,344
CYP4F3,GGT1,0.00011943655629309546,92
CDC37,ERBIN,0.00011833679981654944,64
CYP2C8,CYP4A11,0.00011577278788266199,48
NUP62,NUP85,0.0001139654109503091,58
CYP2C8,CYP4F3,0.00011211110712761041,96
CYP2C8,GGT1,0.0001111907167672399,44
H2AZ2,H2BC3,0.0001096525495931644,38
ATP1A4,KCNA5,0.00010961196803150994,539
ATP1A4,DRD1,0.00010878202624121621,364
ABCC8,ATP1A4,0.00010567010945956242,150
MNAT1,PPP2CA,0.00010467020933369042,7
ATP1A4,CACNA1A,0.0001046304342851561,52
ABCC8,KCNJ11,0.0001045635573721319,168
H2AZ2,H2BC6,0.0001034024095076802,38
CYP4A11,CYP4F2,0.00010339478305265715,54
H2BC3,H2BC4,0.00010223012048626856,110
ATP1B2,CACNA2D2,0.00010153410779875421,1020
COPA,MGAT4C,0.0001012062251675161,2
H2BC4,H2BC6,9.844423166305294e-05,110
CYP4F3,LTA4H,9.805238156426754e-05,184
ATP1A4,HTR1A,9.754991370450367e-05,728
RAC1,SRC,9.696333854812555e-05,236
ATP1A4,SLC3A1,9.627657330566521e-05,56
ATP1A4,PTH,9.596572272130288e-05,2
H2AZ2,H2BC13,9.58665579489093e-05,38
FGA,FGG,9.499844720084472e-05,112
CYP4A11,LTA4H,9.422871275344136e-05,90
H2AZ2,H2BC11,9.412494023515923e-05,114
GGT1,LTA4H,9.387517591008532e-05,94
MAPK3,PIK3R1,9.363171020950194e-05,408
H2BC11,H2BC4,9.35837045367427e-05,330
ATP1A4,SLC7A5,9.30633271608527e-05,84
ATP1A4,SLC14A2,9.291231897097788e-05,280
FGA,FGB,9.276785297726662e-05,216
ADCY5,ADCY7,9.253404336134347e-05,162
ATP1A4,SNTB1,9.22856217137006e-05,343
PIK3R1,SRC,9.224639213906843e-05,288
CYP2C8,LTA4H,9.186252670057016e-05,92
ACADM,ACADS,9.133538151864795e-05,74
HRAS,SRC,9.037766769052104e-05,1344
KCNJ11,TNNT1,9.02107297308478e-05,147
ADCY1,ADCY5,8.997645512970331e-05,108
H2BC13,H2BC4,8.893121178793484e-05,110
