gene_i,gene_j,pair_importance,n_shared_pathways
SOST,WNT9A,0.000196667795535177,1
GTF2F1,GTF2H4,0.00018435178093057902,23
SCNN1D,SLC7A6,0.00018133080740724604,28
GTF2H4,MNAT1,0.00017454586208629636,38
SOST,WNT3A,0.00017369997285809902,4
H2BC11,H2BC6,0.00015882900772294187,165
NUP160,NUP62,0.0001572621584324807,116
CLCNKA,SCNN1D,0.00015492146341762554,29
H2BC13,H2BC6,0.0001548394091576144,55
ADCY1,ADCY7,0.00015227509490674715,330
H2BC11,H2BC13,0.00015215950964660627,165
H2BC11,H2BC3,0.00014585032053056798,165
H2BC3,H2BC6,0.00014538060088753468,55
ATP1B1,ATP1B2,0.00014249777178010348,149
H2BC13,H2BC3,0.00013139487249880233,55
SFRP2,SOST,0.00013073231887202516,12
NUP160,NUP85,0.00012788034324628939,130
MAPK3,SRC,0.00012639135034470404,344
FGB,FGG,0.00012332840382763693,108
ITPR1,TNNT1,0.00012213814775922772,441
ATP1B2,SCNN1D,0.0001220716046136461,28
CCNH,MNAT1,0.00012132853275037547,153
ATP1B2,CACNA2D2,0.00011928041588033737,1020
CYP4A11,CYP4F3,0.00011892168288607508,100
CCN1,IL6ST,0.00011874966003233567,1
ADCY1,ADCY5,0.0001186752213758746,108
ADCY5,ADCY7,0.000117898169296989,162
CYP2C8,CYP4A11,0.00011746041122684403,48
H2BC11,H2BC4,0.0001157977612577336,330
NUP62,NUP85,0.00011492358557818605,58
ABCC8,KCNJ11,0.00011462070837806356,168
H2BC4,H2BC6,0.00011216130610702812,110
ATP1B1,CACNA2D2,0.0001116554525183271,1020
NR3C2,SCNN1D,0.00011031536900066882,140
DKK2,SOST,0.00010890825440577658,40
H2AZ2,H2BC11,0.0001080547800012821,114
AQP3,SCNN1D,0.000108017672754049,56
CYP2C8,CYP4F3,0.00010757990693832653,96
SCNN1D,SLC22A2,0.0001062190371409331,140
CYP4A11,CYP4F2,0.0001053559936998738,54
SCNN1D,SLC12A3,0.00010446145509430992,28
CYP2C8,CYP4F2,0.0001024503023376866,50
ABCC8,TNNT1,0.00010018252086732262,441
H2BC13,H2BC4,9.921675244739525e-05,110
H2BC3,H2BC4,9.905815621102931e-05,110
CYP4A11,GGT1,9.896863479497142e-05,44
CYP4F3,GGT1,9.833086295873983e-05,92
H2AZ2,H2BC6,9.656470233510017e-05,38
CYP2C8,GGT1,9.50395015166805e-05,44
KCNJ11,TNNT1,9.497093545643837e-05,147
H2AZ2,H2BC3,9.458878796686498e-05,38
ATP1B1,SCNN1D,9.344885048358909e-05,28
H2AZ2,H2BC13,9.233538062533575e-05,38
FGA,FGG,9.023953681605579e-05,112
CCNH,GTF2H4,9.008716493628069e-05,114
FGA,FGB,8.960642929551477e-05,216
ITPR1,SCN5A,8.952466677141954e-05,294
ABCC8,ITPR1,8.90789559725505e-05,459
CYP4F2,CYP4F3,8.777772795731664e-05,110
ITPKA,SYNJ1,8.748347405160978e-05,16
RAC1,SRC,8.708568173730613e-05,236
ITPR1,KCNJ11,8.652709694918278e-05,159
CCN1,RELA,8.511641317454632e-05,2
SCN5A,TNNT1,8.409283705246295e-05,294
ITPR1,RYR2,8.370975594863279e-05,312
CYP2C8,LTA4H,8.360927168116206e-05,92
ERCC2,GTF2H4,8.284025870312016e-05,39
ABCC8,CACNA2D2,8.26917998904024e-05,1680
KCNH2,TNNT1,8.208144630850178e-05,441
