gene_i,gene_j,pair_importance,n_shared_pathways
CYP4F2,LTA4H,6.746336498764105e-05,94
KCNH2,RYR2,6.736517020698128e-05,294
CACNA2D2,KCNK1,6.733430386330957e-05,1960
HTR1A,PCSK2,6.724168663482795e-05,3640
F13B,FGB,6.692539234641069e-05,58
ADCY5,GNAS,6.688913289364107e-05,70
CYP2B6,CYP4F3,6.67881998129274e-05,96
ATP1B1,SLC7A6,6.675255824539761e-05,29
ADCY1,ADCY2,6.634101544668314e-05,108
RAP1B,SRC,6.62792360550668e-05,48
GRB2,PIK3R1,6.552187946780153e-05,306
NR3C2,SLC22A2,6.540334504503864e-05,700
HCN4,KCNJ11,6.520754640076953e-05,49
ITPR1,KCNA5,6.516242675939023e-05,1617
KCNA5,RYR2,6.478993048674303e-05,1078
ADCY2,ADCY7,6.478002245372909e-05,162
ATP1B1,KCNJ4,6.470455274484865e-05,98
KCNA5,KCNH2,6.470416715405839e-05,1650
ITPR1,KCNH2,6.469651517648949e-05,441
MAPK14,MAPK3,6.458488005349543e-05,252
NUP160,SEH1L,6.453710899733904e-05,1720
F13B,FGG,6.449950205933419e-05,28
ARC,BDNF,6.447191772451268e-05,8
KCNK1,SLC8A1,6.445673935886254e-05,3528
GNB4,GNG2,6.44209331769711e-05,132
CALM1,TNNT1,6.436971910628134e-05,147
H2BC3,H3-3A,6.436229430617502e-05,30
CYP4A11,PTGS1,6.431720373983874e-05,45
KCNJ11,SCN5A,6.423789831477844e-05,98
IDH3A,OGDH,6.418914260164499e-05,22
POLR2H,POLR3F,6.388075689756079e-05,12
ABCC8,KCNJ4,6.367051411571012e-05,300
ABCC8,SCN5A,6.364411490788573e-05,294
CYP2C8,CYP3A4,6.334965032062101e-05,35
FGG,VKORC1,6.334442020872189e-05,24
CYP4F3,CYP4F8,6.333785338680231e-05,102
ITPR1,SLC8A1,6.325666557438181e-05,2808
CACNA2D2,PCSK2,6.3138337586688e-05,2600
GRB2,SRC,6.306854946967755e-05,158
HCN4,TNNT1,6.303574018273403e-05,147
ATP1B2,RYR2,6.275456057375228e-05,104
ATP1B1,KCNJ3,6.26855016415577e-05,294
ABCC8,CALM1,6.264596843841286e-05,147
ATP1B1,CLCNKA,6.190991895582698e-05,28
ATP1B2,HTR1A,6.182808065200926e-05,728
KCNE1,KCNJ11,6.182746337801692e-05,49
KCNJ11,KCNJ4,6.181647208169938e-05,100
HRAS,PIK3R1,6.161599881952188e-05,2160
ITPR1,RYR2,6.158128270975932e-05,312
CYP4F3,PTGS2,6.147179188635207e-05,184
FGG,PLG,6.13846001513707e-05,32
ATP1B1,SLC22A2,6.125391040447958e-05,145
ATP1B1,PCSK2,6.112899475194111e-05,260
KCNJ4,KCNK1,6.109143154143896e-05,400
CALM1,CALM3,6.104028329099662e-05,143
CDC16,UBE2S,6.0908395212389e-05,100
KCNK1,SCN5A,6.0866654036595413e-05,392
CACNA2D2,ITPR1,6.080449355286806e-05,1530
KCNH2,KCNJ4,6.0756440367773706e-05,294
DRD1,HTR1A,6.051232232379648e-05,5292
MAPK1,MAPK3,6.0494882991657684e-05,1040
KCNJ11,KCNJ3,6.041847868348422e-05,306
ATP1B2,SLC8A1,6.0224508561764395e-05,954
CACNA2D2,KCNA5,6.01853405401624e-05,5390
CACNA2D2,KCNH2,6.0042792706490807e-05,1470
ABCC8,HCN4,5.999631433073471e-05,147
PDS5A,TAOK1,5.99220634681652e-05,3
PIK3R1,RAC1,5.990202904827672e-05,220
CLCNKA,SLC7A6,5.967716621313457e-05,28
JAK2,STAT3,5.963255751887221e-05,2961
CALM1,KCNJ11,5.95019990936585e-05,49
ATP1B2,ITPR1,5.9345165419770474e-05,162
KCNE1,MYLK,5.926759544631205e-05,49
DDB2,PIK3CD,5.906236884459237e-05,10
GNB1,GNB4,5.903676444907191e-05,44
CALM1,KCNK1,5.902616525488985e-05,196
CACNA2D2,RYR2,5.8956995052548316e-05,1080
ATP1B1,NR3C2,5.893486372559043e-05,145
KCNA5,SLC8A1,5.877472846844807e-05,9702
AGTR1,KCNJ11,5.8762254549062564e-05,98
OGDH,SDHB,5.863139572959142e-05,21
AMPD1,GMPS,5.855692615940435e-05,20
ADCY3,ADCY5,5.8488969305960786e-05,108
CYP2C8,CYP4F8,5.848198409519334e-05,54
KAT5,MRE11,5.829055170991637e-05,22
RYR2,SLC8A1,5.820301038625548e-05,1980
GMPR,GUCY1B1,5.8065670511808776e-05,38
CALM1,KCNH2,5.796390301921754e-05,147
ADCY1,PRKACG,5.7952663273463934e-05,110
ADCY1,GNAI1,5.7799549662854756e-05,144
AQP3,SLC22A2,5.777180917143632e-05,280
CYP4A11,PTGS2,5.7625686745985116e-05,88
F13A1,FGG,5.7614822666351986e-05,145
BRAF,MAPK3,5.7546560341793806e-05,128
CEP152,TUBG1,5.750441602293474e-05,44
CACNA2D2,DRD1,5.744399460909594e-05,3640
AQP3,CLCNKA,5.715978086939799e-05,56
HCN4,KCNK1,5.6893085088716155e-05,196
ATP1B1,CACNA1H,5.689180225099816e-05,100
KCNH2,SLC8A1,5.6793182777285863e-05,2646
ABCC8,KCNJ3,5.663650831231874e-05,900
UBC,UBE2N,5.660049437850034e-05,19
SRC,UBC,5.649258668020268e-05,52
NUP160,NUP93,5.636515203022441e-05,116
ADCY5,ADCY8,5.634481158816916e-05,896
NR3C2,SLC7A6,5.633139214068217e-05,140
PPP3R1,PRKCG,5.6299147562111074e-05,6
F13A1,FGB,5.6292382648832503e-05,290
PPP2R1B,PPP2R5D,5.6182081005218265e-05,36
ADCY7,GNAS,5.60789098216774e-05,168
ITGA9,PLD2,5.607703496934846e-05,1
CYP11A1,HSD3B2,5.603195739212197e-05,23
MAPK3,STAT3,5.600112295625e-05,276
SRC,STAT3,5.5967244857753805e-05,156
KCNJ3,TNNT1,5.596297778873287e-05,882
CACNA1H,KCNJ11,5.596174986656705e-05,100
AQP3,NR3C2,5.5774753630932763e-05,280
ARC,GSK3B,5.558080431478096e-05,8
LTA4H,PTGS1,5.5571074373039764e-05,92
PIK3CB,THEM4,5.529606792123627e-05,14
GRB2,PIK3CB,5.525244072744048e-05,100
CYP2B6,CYP4A11,5.521600104779756e-05,48
GRB2,HRAS,5.517749820897389e-05,1368
ITPR1,KCNJ4,5.5155734151414015e-05,294
ATP1B2,SCN5A,5.5139352096333916e-05,98
PIK3R1,PIK3R2,5.508161502863109e-05,864
GGT1,PTGS1,5.5052547635270344e-05,47
MAPK3,RAC1,5.5027866640915105e-05,232
CACNA2D2,SLC8A1,5.50263603762196e-05,9720
CALM1,KCNA5,5.4699460174620854e-05,539
SLC22A2,SLC7A6,5.468849285179544e-05,140
HCN4,KCNA5,5.467573697347391e-05,539
ATP1B2,KCNH2,5.460045714670662e-05,147
NR3C2,SLC3A1,5.459407362883098e-05,280
FGF20,FRS2,5.440342454801865e-05,952
PIK3CD,RXRG,5.4367329815642e-05,6
NUP85,SEH1L,5.4129738816140106e-05,860
KCNJ3,KCNK1,5.409992944462613e-05,1176
FGB,VKORC1,5.4056473704127816e-05,48
SLC12A3,SLC22A2,5.397572731116185e-05,140
H2BC6,H3-3A,5.392486359204196e-05,30
CYP2C8,PTGS2,5.384976676277298e-05,100
DRD1,GRIN2A,5.371563495411658e-05,2842
H2BC11,H3-3A,5.366698299935635e-05,90
ATP1B2,GRIN2A,5.3649334605035256e-05,364
ATP1A4,ATP1B1,5.347056528701155e-05,148
CREBBP,PRKCG,5.3318165408603596e-05,8
GNAI2,GNAO1,5.3013338856618596e-05,78
PTPN11,SRC,5.292131293117759e-05,546
ACADM,MCCC2,5.289343076952946e-05,20
AGTR1,TNNT1,5.2847413598227983e-05,294
SLC22A2,SLC3A1,5.2816483231230005e-05,300
FRS2,SRC,5.275478314081816e-05,68
KCNH2,SCN5A,5.2662374728431206e-05,294
GRIN2A,PCSK2,5.263378236580624e-05,1820
FDFT1,MSMO1,5.256760688943096e-05,132
AMPD1,GUCY1B1,5.249507784199636e-05,38
CYP4F8,GGT1,5.240955769347799e-05,45
ABCC8,AGTR1,5.233438053288034e-05,294
PIK3CD,PIK3R2,5.2317925826251784e-05,212
ATP1B1,DRD1,5.225757326760798e-05,364
RPL31,RPLP2,5.2243917295413667e-05,18
EXOC2,PLD2,5.219013664109776e-05,38
HSD3B1,HSD3B2,5.212178683322577e-05,29
PIK3CB,PIK3R2,5.209858895801715e-05,616
ATP1B2,CALM1,5.199072962058793e-05,52
ARC,PIK3R2,5.191343875061928e-05,16
BRAF,SRC,5.190030928947653e-05,70
ATP1B1,SLC3A1,5.176440814190844e-05,58
ATP1B1,KCND3,5.1682254043117215e-05,49
CACNA2D2,HTR1A,5.165669709393493e-05,7280
AGTR1,KCNA5,5.1517436103568956e-05,1078
ACADSB,MCEE,5.150614234613234e-05,57
MAPRE1,TUBG1,5.135739464697843e-05,44
ACADSB,MCCC2,5.130836274114259e-05,60
LTA4H,PTGS2,5.1254409045273924e-05,196
KCNA5,SCN5A,5.1217411488763786e-05,1078
RYR2,SCN5A,5.111883458949057e-05,196
ADCY1,GNB4,5.1086168668001974e-05,24
CALM1,RYR2,5.1074899901998316e-05,100
CCND1,PIK3CD,5.1066222166310477e-05,64
FGB,PLG,5.097770521079754e-05,64
CCNC,MEN1,5.089092736983852e-05,4
MCM3,MCM6,5.085041137616505e-05,60
PIK3R1,PTPN11,5.0757448559753315e-05,966
CALM3,ITPR1,5.0732539971199286e-05,222
NR3C2,SLC12A3,5.0719558909761985e-05,140
SLC3A1,SLC7A6,5.071619716828096e-05,58
AGTR1,ATP1B1,5.064238865103718e-05,100
CLCNKA,SLC12A3,5.0605391173075276e-05,28
ARC,PIK3CD,5.033933079801045e-05,2
CYP4F2,CYP4F8,5.0158823489576676e-05,51
F13B,VKORC1,5.0066486736000115e-05,24
CACNA1H,TNNT1,5.004229107244761e-05,294
ATP1B1,CALM3,5.001485090694313e-05,52
AQP3,ATP1B1,5.001427322426366e-05,56
ATP1A4,ATP1B2,4.993401019254273e-05,148
KCNJ11,KCNJ5,4.990710939534182e-05,51
FRS2,PTPN11,4.990465310943267e-05,504
EXOC6,PLD2,4.976025838914211e-05,5
KCNA5,KCNJ4,4.974065239713451e-05,1078
AGTR1,KCNK1,4.966252623464824e-05,392
CEP152,MAPRE1,4.9631137756023236e-05,11
KCNA5,KCNJ3,4.962662345028409e-05,3234
RPL23,RPL31,4.936253196774487e-05,18
ACADSB,IVD,4.928149802078489e-05,66
CYP1A2,CYP2C8,4.917545111116084e-05,50
ADCY3,ADCY8,4.906500122312048e-05,1728
CYP4F2,PTGS1,4.9064722748886486e-05,48
AGTR1,ITPR1,4.888911738513081e-05,312
CACNA2D2,SCN5A,4.8880192234271246e-05,1000
DBH,PNMT,4.8852232863660916e-05,18
CEP152,CEP290,4.882737437128526e-05,11
GGT1,PTGS2,4.881735127010289e-05,94
KCNJ4,RYR2,4.880834397011369e-05,196
MAPK3,PIK3CB,4.878351130207964e-05,192
CLCNKA,SLC3A1,4.862853520112148e-05,56
HRAS,PIK3CD,4.862795069082823e-05,272
ATP1B1,HTR1A,4.8586957815300115e-05,728
MAPK3,PIK3R2,4.8583538590220436e-05,408
MAP2K1,SRC,4.845934427075149e-05,108
DCTN2,DYNC1H1,4.824381295520652e-05,17
ATP6V1G1,SLC6A5,4.807935329154134e-05,1
IGF1,PIK3CB,4.800371327539016e-05,78
FOXO3,MTF2,4.796716586294991e-05,50
MAPRE1,PDS5A,4.7810520649560484e-05,3
CYP2C8,PTGS1,4.772659159235637e-05,48
GNAI1,GNAI2,4.771081308460842e-05,405
PTEN,SYNJ1,4.770053180520333e-05,108
ATP1B1,PLCB1,4.7694366499762e-05,56
GTF2H4,MNAT1,4.766833022928907e-05,38
CCNH,GTF2H4,4.754430183684377e-05,114
AQP3,SLC7A6,4.754419297903212e-05,56
ATP1B1,TPM1,4.737815941185941e-05,50
BRAF,CRK,4.737710343969651e-05,12
GUCY1A2,GUCY1B1,4.730522846913834e-05,232
MAPK14,SRC,4.729551200366444e-05,120
ABCC8,CACNA1H,4.729539277730616e-05,294
CD36,CYP26B1,4.717974003654035e-05,5
CYP2C18,CYP4F12,4.716315584119002e-05,26
CALM1,SCN5A,4.715032897170679e-05,98
DYNC1H1,MAPRE1,4.7131457549198785e-05,19
CYP4A11,PTGIS,4.712460417377086e-05,94
CLASP1,MAPRE1,4.7095889101012034e-05,20
GNB1,GNG4,4.7009148666621314e-05,45
NUP62,SEH1L,4.698375777388644e-05,720
CRK,RELA,4.69360333521969e-05,8
CACNA2D2,CALM1,4.6896029173292145e-05,490
CCNC,RNF111,4.6894144321137955e-05,8
KCNJ11,TPM1,4.6873714922915366e-05,49
PDS5A,PPP2R5D,4.6858663936694134e-05,3
PLD2,VAMP3,4.685557172632096e-05,8
KCNJ4,SLC8A1,4.682947404284827e-05,1764
BAK1,PIK3CD,4.680063113095018e-05,150
MNAT1,POLR2E,4.679929428020066e-05,297
CEP290,CEP78,4.6794548950401804e-05,11
ADCY3,GNAS,4.678570668273374e-05,124
H2BC4,H3-3A,4.675299761691676e-05,60
GNAI1,MAPK3,4.668098927311509e-05,156
RPL23,RPLP2,4.657832525367667e-05,18
MAPK14,RAC1,4.6486678290949546e-05,140
CYP2C8,PTGIS,4.637442851895823e-05,92
CALM3,TNNT1,4.6366678469869346e-05,147
ITPR1,KCNJ3,4.635860243646271e-05,990
ADCY8,GNAS,4.6225774230284246e-05,992
HMGCR,MSMO1,4.620192789517308e-05,58
ABCC8,KCNJ5,4.618613085224354e-05,150
CYP1A1,CYP3A4,4.6070742977022405e-05,24
KCNJ5,KCNK1,4.6009971285954077e-05,196
SCN5A,SLC8A1,4.592294063017787e-05,1764
AGTR1,KCNH2,4.581484109394032e-05,294
CALM1,SLC8A1,4.5802095897190165e-05,882
CYP4F3,PTGIS,4.5745830868259424e-05,192
CCNH,POLR2E,4.5731891141498545e-05,891
MAPK3,RELA,4.57159320958437e-05,152
CYP11A1,HSD3B1,4.5700498351841645e-05,22
ADCY2,GNAS,4.5638933635745726e-05,86
ATP1B2,HCN4,4.561969471250649e-05,49
F13B,PLG,4.561647360645793e-05,27
CACNA1H,ITPR1,4.558481108412838e-05,318
CACNA2D2,KCNJ4,4.557851914511355e-05,980
CACNA2D2,HCN4,4.551264901147016e-05,490
CYP26B1,RXRA,4.549825766258092e-05,10
ADCY2,ADCY5,4.546874195687778e-05,54
KIF2A,PDS5A,4.542074110574825e-05,9
AQP3,SLC12A3,4.541655631840058e-05,56
CACNA1H,KCNA5,4.540411660202447e-05,1078
CYP4F8,LTA4H,4.538926846792135e-05,90
F3,FGG,4.5378392522277267e-05,28
ABCC8,KCNE1,4.534344517368819e-05,147
KCNJ5,TNNT1,4.5328893948440883e-05,147
HCN4,RYR2,4.5324809321095616e-05,98
SLC1A1,SLC22A2,4.5314883857997554e-05,4030
KCNE1,KCNK1,4.529108790660846e-05,196
CS,OGDH,4.528641145540302e-05,46
CUL1,UBC,4.527756531694354e-05,120
CALM1,KCNJ4,4.525811862311421e-05,98
CYP4F2,PTGS2,4.52500039833173e-05,94
GMPR,RRM2,4.521670614821005e-05,20
ALK,PIK3CD,4.519069426350136e-05,4
PLG,VKORC1,4.5129762487050584e-05,24
HCN4,ITPR1,4.509664752328149e-05,147
ITPR1,SCN5A,4.502191241588573e-05,294
HCN4,KCNH2,4.4985383636007426e-05,147
CEP290,MAPRE1,4.492294033298094e-05,11
RPA3,UBC,4.486849254847769e-05,29
NUP62,NUP93,4.4838381586753684e-05,58
ADCY10,GMPR,4.478424946796622e-05,19
MAPK14,MAPK8,4.478222570388434e-05,256
GMPR,PDE10A,4.475807751674887e-05,76
CYP2C8,CYP2C9,4.472508175723533e-05,38
KCNE1,TNNT1,4.472005907303622e-05,147
PEDS1,TRAF6,4.469252215705266e-05,36
CYP2B6,GGT1,4.45855632040526e-05,43
FOS,JUN,4.455325981143469e-05,260
F13A1,VKORC1,4.454316986564066e-05,120
INPP5E,SYNJ1,4.4417082731160185e-05,24
CACNA1H,KCNK1,4.4407984199049946e-05,392
PDS5A,SKA2,4.437891156588297e-05,3
ADCY5,PRKACG,4.435550220904805e-05,48
FGF6,FRS2,4.4337788355015145e-05,216
CSK,SRC,4.433210483245631e-05,38
PTGS1,PTGS2,4.42277654902764e-05,124
ADCY7,PRKACG,4.422669315468086e-05,126
FOS,MAPK3,4.418737144531693e-05,448
MAP2K3,MAPK14,4.4179346794681607e-05,82
GMPS,RRM2,4.4120740695302216e-05,24
MAPK3,MAPK8,4.410473581377895e-05,284
F13A1,F13B,4.4090010552189086e-05,135
CYP4F8,PTGS1,4.4082763713308715e-05,46
ITGA6,PLD2,4.40417659774539e-05,5
CYP2B6,CYP4F8,4.3867075837274346e-05,54
KCNJ4,SCN5A,4.3852953307887965e-05,196
GRIN2A,HTR1A,4.3844625198676916e-05,5096
GNB4,GNG12,4.3827494517090226e-05,88
GNAS,GNB1,4.379959430200232e-05,96
ATP1B2,CACNA1H,4.3778517585059407e-05,100
MCCC2,MCEE,4.367551647632695e-05,18
GNG2,GNG4,4.364306492465886e-05,132
CACNA1A,PCSK2,4.356689544238179e-05,260
ATP1B2,KCNJ3,4.35262851411188e-05,294
ATP1B1,GRIN2A,4.34804759838684e-05,364
CACNA1A,CACNA2D2,4.344283797287965e-05,600
ACADM,IVD,4.342431680370851e-05,20
ERBB2,PIK3CD,4.339961285250438e-05,14
CEP152,DCTN2,4.3355566219815955e-05,11
RELA,TNF,4.3332773650428535e-05,64
CYP2B6,PTGS1,4.329977773101913e-05,45
GNAO1,GNAS,4.3256559193238786e-05,28
ITPR1,KCNJ5,4.320228203020792e-05,165
IVD,MCCC2,4.31796527007311e-05,22
TNNT1,TPM1,4.312166350860699e-05,153
FYN,SRC,4.3117794292610885e-05,2268
KCNA5,KCNJ5,4.3102633990511614e-05,539
H2BC3,H3C11,4.299233551276552e-05,31
GMPR,GUCY1A2,4.29906075644082e-05,76
KCNA5,KCNE1,4.296730975723784e-05,539
CACNA2D2,KCNJ3,4.2954153526737624e-05,2940
AGTR1,RYR2,4.2940738378141065e-05,196
ABCC8,CALM3,4.291646774442296e-05,147
FGF9,FRS2,4.290452967290493e-05,204
KCND3,KCNJ11,4.288116409334464e-05,49
CALM3,KCNJ11,4.2856476459185444e-05,49
FGA,VKORC1,4.283720167107957e-05,48
CYP2C18,CYP2S1,4.2731738277623776e-05,24
CEP152,CEP78,4.27237953886106e-05,11
TRAF6,UBE2N,4.26454949928887e-05,40
CYP1A2,CYP2C18,4.260501635044989e-05,30
MYLK,TNNT1,4.25434292168385e-05,147
CACNA2D2,GRIN2A,4.252545062442525e-05,3640
F3,FGB,4.245619106612007e-05,58
CYP1A2,CYP2S1,4.244576095963071e-05,64
KCNJ5,RYR2,4.2435197466050845e-05,100
KCNH2,KCNJ3,4.239485298239257e-05,882
FGA,PLG,4.2304255098435384e-05,64
RPL17,RPL37,4.225480927059653e-05,18
HCN4,SLC8A1,4.224171766153886e-05,882
CSNK2A2,CSNK2B,4.223239690611299e-05,69
ADCY1,GNG4,4.212987188090267e-05,26
CYP2B6,CYP4F2,4.205090559854241e-05,48
AGTR1,CACNA2D2,4.2000791552314794e-05,980
CEP290,DCTN2,4.199393549697561e-05,11
TBK1,TRAF3,4.197909033365477e-05,14
EGFR,SRC,4.197338347205285e-05,228
PC,PDHB,4.197099494180295e-05,264
F13B,F3,4.19694577665497e-05,28
KCNJ3,RYR2,4.1912127949012924e-05,600
NUP85,NUP93,4.190441203899553e-05,58
HSD17B7,IDI1,4.1863788911819554e-05,27
CHP1,CREBBP,4.178392413223264e-05,2
CYP2J2,CYP4A11,4.174755000435626e-05,94
ATF6B,GNAI1,4.166260076961711e-05,12
ATP1B2,KCNJ4,4.161738196339915e-05,98
KCNJ4,KCNJ5,4.15655474234819e-05,112
KCND3,TNNT1,4.153637645384669e-05,147
CDK1,PDS5A,4.15275961522148e-05,4
ITPR1,MYLK,4.148730529354022e-05,153
ADCY1,MAPK3,4.146303598643827e-05,64
