gene_i,gene_j,pair_importance,n_shared_pathways
ATP1B1,ATP1B2,0.00022678016912092147,149
CRK,GRB2,0.0001852618096376498,35
H2BC3,H2BC6,0.00017498359983214584,55
H2BC11,H2BC3,0.00017246627278192742,165
H2BC13,H2BC3,0.00016637171581379562,55
NUP160,NUP62,0.00015830523338866698,116
ARC,GRM1,0.0001559409247335053,6
NUP160,NUP85,0.00015321747615715253,130
MAPK3,SRC,0.00015013712842029935,344
H2BC11,H2BC6,0.00014544911762500354,165
H2BC13,H2BC6,0.00014335480101301812,55
ADCY1,ADCY7,0.0001418522262192449,330
PDS5A,RCC2,0.00013890764802630424,3
H2BC11,H2BC13,0.00013886347085130998,165
H2AZ2,H2BC3,0.0001347076437170358,38
CYP4A11,CYP4F3,0.00013285072773561168,100
FGB,FGG,0.00013242657560569955,108
ATP1B1,CACNA2D2,0.00013176912574178052,1020
H2BC3,H2BC4,0.0001278174468206661,110
CCNC,CDK9,0.00012774544452349643,4
H2AZ2,H2BC6,0.000124665409336977,38
IFNL1,IL10RB,0.00012455280735679253,8
CCNH,MNAT1,0.00012360066732967448,153
NUP62,NUP85,0.00012348803917205942,58
ARC,RHEB,0.00012007524828441113,4
H2AZ2,H2BC13,0.00011972392810477572,38
H2AZ2,H2BC11,0.00011746322722154072,114
GMPS,GUCY1A2,0.00011530050524671505,76
H2BC4,H2BC6,0.0001120813396040532,110
MAPK3,PIK3CD,0.00011195925204908911,78
ABCG2,SLC16A10,0.00011176542781807903,21
ATP1B1,TNNT1,0.00011157724897008688,147
H2BC11,H2BC4,0.00011005790783473006,330
ATP1B2,CACNA2D2,0.00010905271451142535,1020
CYP2C8,CYP4F3,0.00010735149353791051,96
ABCC8,KCNJ11,0.00010692176982189198,168
ABCC8,ATP1B1,0.00010596387872648337,150
ITGB6,MST1,0.00010519232387196098,2
KLC1,PLD2,0.00010447091335663572,1
H2BC13,H2BC4,0.00010415142648856346,110
CYP4A11,GGT1,0.00010401484208828748,44
CYP4F3,GGT1,0.0001037115121469423,92
ATP1B1,KCNK1,0.00010249688706021054,196
ABCC8,TNNT1,0.00010217308328752363,441
GNB4,GNG4,0.00010130594350865607,44
CYP4F2,CYP4F3,0.00010119945697370514,110
KCNJ11,TNNT1,0.00010111665597556385,147
ATP1B1,KCNJ11,0.00010099940628904847,51
RAC1,SRC,0.00010002645493166484,236
ADCY1,ADCY5,9.976764307358804e-05,108
KCNA5,KCNJ11,9.908560574682799e-05,539
HDAC2,SAP18,9.896185745175701e-05,10
CYP4A11,CYP4F2,9.791933284830634e-05,54
CYP2C8,CYP4A11,9.681380810988571e-05,48
ADCY5,ADCY7,9.522705164040819e-05,162
CCNH,POLR2H,9.437125687283832e-05,99
KCNK1,TNNT1,9.432140126757134e-05,588
KCNJ11,KCNK1,9.303085366069164e-05,196
ADCY1,ADCY8,9.238654567171614e-05,1888
ATP1B1,RYR2,9.231582454383158e-05,104
ATP1B1,ITPR1,9.142397331984267e-05,162
PIK3R1,SRC,9.136779023950076e-05,288
HRAS,SRC,9.111422349221496e-05,1344
ATP1B1,KCNA5,9.09834368723497e-05,539
FOXO3,STEAP3,9.02974413179436e-05,2
ITPR1,KCNJ11,8.97660157587957e-05,159
H2AZ2,H2BC4,8.95342119021647e-05,76
ABCC8,KCNK1,8.90374412626747e-05,588
CYP2C8,GGT1,8.838495425100845e-05,44
ATP1B1,KCNJ5,8.833438699462626e-05,50
CYP2C8,CYP4F2,8.817517036741052e-05,50
MAPK3,PIK3R1,8.804280707556634e-05,408
CYP4A11,LTA4H,8.787700934864695e-05,90
MNAT1,POLR2H,8.764112485426523e-05,33
CYP4F3,LTA4H,8.736618757132497e-05,184
PIK3CB,PIK3R1,8.658401279156696e-05,368
ATP1B1,KCNH2,8.649766304505322e-05,147
ACADM,ACADSB,8.632158061772088e-05,102
FGA,FGB,8.627324872367609e-05,216
RFC5,RPA3,8.505485908250066e-05,92
ARC,GRIN3B,8.462417255684918e-05,4
ATP1B1,KCNE2,8.395979435486349e-05,150
FGA,FGG,8.383739345502184e-05,112
GGT1,LTA4H,8.378250513962904e-05,94
ADCY1,ADCY3,8.345099267303979e-05,216
KCNJ11,RYR2,8.31041228238627e-05,102
FOXO3,MT1X,8.297433296888812e-05,2
E2F3,PIK3CD,8.288969304484405e-05,77
HRAS,MAPK3,8.263303687499486e-05,2128
KCNH2,KCNJ11,8.259069606538286e-05,147
ATP1B2,KCNJ11,8.230258689323477e-05,51
ABCC8,KCNA5,8.212153924903455e-05,1617
CYP2C8,LTA4H,8.20915937103095e-05,92
KCNH2,TNNT1,8.19593857339279e-05,441
ATP1B1,HCN4,8.172295084030168e-05,49
ATP1B2,PCSK2,8.138730130274936e-05,260
ATP1B1,CALM1,8.102002950094445e-05,52
PEDS1,UBE2N,8.100156268847636e-05,22
ADCY1,GNAS,8.095817087549334e-05,152
PDS5A,PPP2R5E,8.090125561772965e-05,3
H2AZ2,H3-3A,8.074745575037401e-05,30
KCNA5,TNNT1,8.069350344337197e-05,1617
ABCC8,KCNH2,8.034965860339906e-05,441
ATP1B1,SLC8A1,7.991596572750503e-05,954
H2BC13,H3-3A,7.956451771595763e-05,30
ABCC8,CACNA2D2,7.953275068541373e-05,1680
ITPR1,TNNT1,7.936067346657809e-05,441
ADCY7,ADCY8,7.883524505820725e-05,2592
ABCC8,RYR2,7.806229051668043e-05,300
ABCC8,ITPR1,7.763169038843045e-05,459
PIK3CD,PIK3R1,7.719247523948775e-05,118
RYR2,TNNT1,7.704449975546972e-05,294
POLR2E,POLR2H,7.697892474272137e-05,567
ARC,GRIN2B,7.633112242005098e-05,36
KCNA5,KCNK1,7.586705167770908e-05,2156
CACNA2D2,KCNJ11,7.586132656831716e-05,510
ADCY3,ADCY7,7.584293921152525e-05,324
NFKBIA,RELA,7.555780296509728e-05,8262
CYP4F3,PTGS1,7.543301416704923e-05,94
CYP4A11,CYP4F8,7.509801167737695e-05,49
ATP1B2,TNNT1,7.509403837133628e-05,147
NFKB1,RELA,7.465547166146669e-05,172
MAP2K1,MAPK3,7.463617428021207e-05,300
CACNA2D2,TNNT1,7.431971244476871e-05,1470
KCNJ11,SLC8A1,7.420426963954504e-05,900
CYP2B6,CYP2C8,7.394820726719376e-05,65
CYP4F2,GGT1,7.381505541381728e-05,46
POLR2D,POLR2H,7.32134419535388e-05,44
CYP1A1,CYP1A2,7.316358276199253e-05,64
CALM1,ITPR1,7.277408882680043e-05,225
KCNH2,KCNK1,7.245950441731563e-05,588
PIK3CD,STAT3,7.229827070758903e-05,36
ABCC8,ATP1B2,7.209872882442865e-05,150
PIK3CB,PIK3CD,7.167124882243695e-05,126
DRD1,PCSK2,7.154584374122326e-05,1820
ATP1B2,DRD1,7.096834587464304e-05,364
SLC8A1,TNNT1,7.090306503852782e-05,2646
ATP1B1,SCN5A,7.065386318877431e-05,98
NME7,TUBG1,7.029701744643534e-05,20
ITPR1,KCNK1,6.978112744002044e-05,588
KCNJ4,TNNT1,6.960646119973123e-05,294
CLCNKA,SLC22A2,6.923961959746095e-05,140
CLCNKA,NR3C2,6.901365915670254e-05,140
ACADM,MCEE,6.895694211550563e-05,25
GRB2,MAPK3,6.88744720711573e-05,208
KCNK1,RYR2,6.887077153622245e-05,392
PDS5A,PPP2R1B,6.864734343744105e-05,3
SCN5A,TNNT1,6.856383517935204e-05,294
ATP1B2,KCNA5,6.855325501252055e-05,539
ABCC8,SLC8A1,6.845083809593766e-05,2646
AMPD1,GMPR,6.824426181140097e-05,22
PPP2R5D,PPP2R5E,6.808449978734643e-05,22
ATP1B2,KCNK1,6.781653417653466e-05,196
GNAI1,GNAI3,6.776263785298533e-05,123
CYP1A2,CYP3A4,6.773479244204239e-05,84
