gene,degree,importance_sum,importance_mean,n_nodes
SRC,632,0.51402307,0.0016266553,2
MAPK3,1016,0.5017398,0.0009876768,2
PIK3R1,908,0.3707914,0.0008167212,2
RELA,542,0.33958325,0.0012530747,2
UBC,296,0.31638205,0.0010688583,1
RAC1,582,0.3163796,0.0010872151,2
PIK3CD,190,0.3102364,0.0016328231,1
MAPK14,572,0.26560187,0.00092867797,2
HRAS,3176,0.2649569,0.0006673977,8
STAT3,618,0.2293005,0.0011131092,3
ITPR1,519,0.22431119,0.0012965965,3
ATP1B1,166,0.21923363,0.0013206846,1
PIK3R2,1100,0.21384756,0.0007776275,4
ADCY1,248,0.20108178,0.0016216272,2
MAPK8,616,0.20007893,0.0006496069,2
CALM1,247,0.19941454,0.0008073463,1
PPP2R5D,113,0.19929025,0.0017636305,1
PIK3CB,470,0.19559225,0.0008323075,2
MAP2K1,336,0.19531304,0.0005812888,1
JAK2,3738,0.18881169,0.0010607397,21
FOS,808,0.18673979,0.00092445436,4
TNF,173,0.18076542,0.0010448868,1
CALM3,232,0.17715316,0.0007635912,1
ATP1B2,165,0.1680106,0.001018246,1
EGFR,615,0.16670094,0.0008131753,3
GNAS,264,0.16645631,0.0012610327,2
GRB2,386,0.16639517,0.00043107558,1
ADCY7,318,0.1656632,0.0015628604,3
H2BC3,89,0.16507925,0.0018548231,1
GSK3B,852,0.1603883,0.0007529967,4
NFKB1,286,0.15839453,0.00055382703,1
PTPN11,1393,0.15758015,0.0007918601,7
H2BC6,88,0.15545626,0.0017665484,1
NFKBIA,10200,0.15367611,0.0007683806,51
CYCS,396,0.15182945,0.0015336308,4
PPP2R1B,119,0.15085152,0.0012676598,1
NUP160,184,0.15027641,0.0016334392,2
GNB4,89,0.14896525,0.0016737669,1
NUP62,89,0.14673558,0.0016487144,1
FOXO3,192,0.14574552,0.0015181823,2
PRKACG,187,0.14216012,0.0007602145,1
TRAF6,322,0.14202464,0.0008821406,2
UBE2N,82,0.14145833,0.0017251016,1
H2BC11,264,0.13989143,0.0015896754,3
CCND1,656,0.13903704,0.00084778684,4
NUP85,93,0.13694844,0.0014725638,1
H2AZ2,63,0.13432066,0.002132074,1
BRAF,141,0.13414127,0.0009513565,1
IFNG,2910,0.13375957,0.0013789647,30
H2BC13,88,0.13368972,0.0015192013,1
GNB1,156,0.13325572,0.00085420336,1
PLCG1,233,0.13208117,0.00056687195,1
RHOA,209,0.13158792,0.0006296073,1
FGG,85,0.13114484,0.0015428804,1
CYP2C8,89,0.13068777,0.001468402,1
PTPN6,78,0.13052356,0.001673379,1
IGF1,243,0.13051812,0.0016113349,3
CACNA2D2,1290,0.12812245,0.0009931973,10
IL1B,590,0.12568702,0.0010651442,5
FRS2,160,0.12410041,0.0015512551,2
FGB,158,0.123336405,0.0015612203,2
RAP1B,70,0.12267073,0.0017524391,1
RPA3,75,0.12260658,0.0016347545,1
ADCY5,114,0.12107393,0.001062052,1
FYN,4752,0.11895319,0.0006758704,27
PRKCA,260,0.11757573,0.00045221433,1
ITGB1,625,0.11717962,0.000937437,5
MAPK1,1044,0.11659979,0.00022337124,2
CUL1,366,0.115663856,0.00094806444,3
PLCB2,234,0.11338939,0.0009691401,2
FAS,158,0.1130086,0.0014304887,2
CCNH,213,0.11294649,0.0015907955,3
POLR2H,80,0.11221571,0.0014026964,1
CXCL8,184,0.11183211,0.0012155664,2
TBK1,65,0.10944455,0.0016837623,1
GNG4,90,0.109240934,0.0012137882,1
ROCK2,74,0.10912882,0.0014747138,1
GNAI2,297,0.10898926,0.0011009016,3
GNAI1,315,0.10850194,0.0010333519,3
ADCY8,1792,0.10786435,0.00096307456,16
MAP2K4,405,0.10783423,0.0007987721,3
H2BC4,178,0.10747592,0.0012075946,2
PAK2,98,0.10628093,0.0010844993,1
CYP3A4,100,0.10476938,0.0010476938,1
CDK1,242,0.10436857,0.0008625501,2
ITPR3,784,0.10354946,0.0009245487,7
MNAT1,67,0.103436306,0.0015438255,1
CYP1A2,136,0.1026992,0.0015102823,2
DRD1,630,0.102025114,0.0011336125,7
CCNE1,184,0.10094891,0.0010972708,2
PPP2CA,153,0.10032814,0.00065573945,1
STAT5A,264,0.100094095,0.0007582886,2
WNT3A,57,0.10000115,0.0017544061,1
PLA2G4A,316,0.09997082,0.0012654534,4
MAPK10,154,0.099491626,0.0006460495,1
KCNJ11,66,0.0992959,0.0015044833,1
CYP4A11,64,0.09885207,0.0015445636,1
PPP3R1,67,0.09773791,0.0014587748,1
AGTR1,240,0.09672008,0.0008060006,2
ADCY3,216,0.09577586,0.0008868135,2
PTEN,1044,0.095254526,0.00082115975,9
FOXO1,276,0.09511229,0.0010338292,3
PEDS1,54,0.09507857,0.0017607143,1
RXRA,88,0.09507792,0.0010804309,1
PPP2R5E,55,0.094943106,0.0017262383,1
CYP4F3,118,0.09469235,0.0016049551,2
DVL3,55,0.094164245,0.0017120772,1
KAT5,56,0.094137594,0.0016810285,1
ABCC8,207,0.09385281,0.0013601856,3
FGF20,1274,0.09330505,0.0010253302,14
CCND3,50,0.09145715,0.001829143,1
GNG2,312,0.09071863,0.0008722946,3
GGT1,70,0.09064296,0.0012948994,1
YWHAB,190,0.09042067,0.00095179654,2
IQGAP1,58,0.089530095,0.0015436223,1
MAP2K3,122,0.08947086,0.00073336775,1
MAP3K7,3680,0.08912947,0.0005570592,23
VEGFA,300,0.088858485,0.0008885848,3
CSNK2B,59,0.08779877,0.0014881147,1
PIK3CG,249,0.08775827,0.0010573285,3
JAG1,58,0.08732793,0.001505654,1
GRIN2A,721,0.08732475,0.00084781315,7
CSNK2A2,165,0.08709135,0.001583479,3
IFNA13,55,0.086000614,0.0015636475,1
CSK,57,0.08599715,0.001508722,1
SHC2,54,0.08490689,0.0015723498,1
IFNA2,52,0.08361832,0.0016080446,1
ADCY2,119,0.083219536,0.00069932383,1
RYR2,154,0.083153106,0.0010799106,2
CAMK2D,540,0.083005555,0.00076856994,5
FGA,164,0.08295771,0.0010116794,2
SLC8A1,1404,0.082615644,0.001059175,18
ACADM,57,0.08151121,0.0014300211,1
LTA4H,124,0.081048965,0.0013072414,2
IFNA5,51,0.080949455,0.0015872442,1
H3-3A,67,0.08024702,0.0011977168,1
