gene,degree,importance_sum,importance_mean,n_nodes
DYNC1H1,58,0.080235384,0.0013833687,1
STAT5B,378,0.079446726,0.00063052954,3
H3C11,71,0.07894431,0.0011118917,1
NME7,32,0.078709856,0.002459683,1
PTGS2,230,0.07853751,0.0006829349,2
DUSP6,230,0.07831527,0.0017025059,5
ERBB2,97,0.078219555,0.00080638716,1
PPP2R1A,292,0.07808088,0.0005348005,2
TRAF3,66,0.07792164,0.0011806309,1
MRE11,51,0.07719841,0.0015136943,1
IL2,1368,0.077163905,0.0010153145,18
PLCB1,178,0.077094145,0.00043311316,1
LEF1,69,0.07676964,0.0011126035,1
KCNK1,224,0.07647943,0.0013657041,4
RAB7A,45,0.076314196,0.001695871,1
YWHAQ,396,0.07619319,0.0011544422,6
TNNT1,156,0.076151304,0.0014644483,3
SLC22A2,250,0.07582017,0.0015164034,5
E2F3,583,0.074872054,0.0014126803,11
PTGS1,73,0.074804276,0.0010247161,1
GRIN2B,378,0.07476412,0.001186732,6
RHEB,54,0.07467786,0.0013829233,1
PARP1,52,0.074528694,0.0014332441,1
FGF6,316,0.07323226,0.00092699064,4
GNAI3,84,0.07309712,0.0008702038,1
UBE2S,84,0.07294171,0.0017367074,2
PC,50,0.07285702,0.0014571404,1
CREBBP,340,0.072811715,0.00042830422,2
CYP4F2,64,0.07249038,0.0011326622,1
SMAD2,320,0.07237553,0.0009046941,4
BTRC,96,0.07214152,0.0007514742,1
IL12B,464,0.07196315,0.0012407439,8
RPS6KA2,148,0.071742445,0.0009694925,2
KCNH2,171,0.07169496,0.0012578064,3
UBE2I,204,0.07061296,0.001038426,3
AREG,54,0.07046868,0.0013049756,1
JUN,285,0.06899498,0.00024208764,1
KITLG,172,0.06869423,0.0015975402,4
LMNA,38,0.06864813,0.0018065297,1
PSMD7,39,0.06830758,0.0017514763,1
DDB2,51,0.06825611,0.0013383551,1
PPP2R5C,62,0.06816135,0.0010993767,1
PCSK2,275,0.068100266,0.0012381866,5
NR3C2,220,0.068075836,0.001547178,5
ACE,47,0.06777346,0.0014419885,1
CXCL1,58,0.067242526,0.0023187078,2
ACTB,174,0.06707406,0.0007709662,2
CDK9,46,0.06691344,0.0014546401,1
AKT3,424,0.066603936,0.0003141695,2
HTR1A,938,0.06651079,0.0009926984,14
GNAO1,46,0.06643711,0.001444285,1
GNG12,214,0.06597597,0.0006165978,2
FGF9,294,0.065792195,0.00067134894,3
ACADSB,120,0.06574109,0.0016435273,3
CYP1A1,45,0.06572179,0.0014604841,1
PLG,55,0.06525883,0.0011865242,1
PSMD12,40,0.06514107,0.0016285267,1
GOT2,240,0.06501666,0.0013545137,5
SERPINE1,42,0.064719036,0.0015409294,1
DLD,2231,0.06421126,0.0006619717,23
RRM2,57,0.06412036,0.0011249186,1
SEH1L,1400,0.063911095,0.00091301574,20
BAK1,810,0.06390469,0.0011834201,15
TYK2,320,0.06357913,0.0007947391,4
CHEK2,42,0.063530445,0.0015126297,1
CACNA1A,86,0.06326004,0.00073558185,1
CYP2B6,92,0.06312296,0.00068611914,1
PML,46,0.062731944,0.0013637379,1
POLR2E,711,0.062301055,0.0007886209,9
DERL1,16,0.061719764,0.0038574853,1
THBS1,200,0.061681427,0.0012336285,4
RFC5,124,0.061646998,0.0009943064,2
ATF6B,30,0.061622467,0.0020540822,1
POLR2D,60,0.06155196,0.001025866,1
TAB2,612,0.061497536,0.000602917,6
KCNA5,572,0.06141844,0.0011811239,11
CD3D,45,0.061121453,0.0013582545,1
HSD3B2,35,0.06106035,0.0017445814,1
MMP2,47,0.06097466,0.0012973332,1
PRKCQ,1275,0.060878936,0.00071622274,15
ACTN4,27,0.060533285,0.0022419735,1
TLR2,106,0.060319193,0.001138098,2
OGDH,32,0.060014162,0.0018754426,1
DYNC1I2,216,0.059762113,0.0011067057,4
FBXW11,186,0.05955781,0.0009606098,3
HMOX1,43,0.05950299,0.0013837904,1
PSMA1,33,0.059421614,0.0018006549,1
FURIN,165,0.059404325,0.0010800787,3
KCNJ4,132,0.05912151,0.0008957804,2
CDC16,88,0.05906586,0.0013424059,2
DCTN2,33,0.0590188,0.0017884484,1
CCL4,190,0.059012543,0.0015529618,5
KCNJ5,71,0.05894714,0.00083024136,1
NCOA1,112,0.05870785,0.0010483544,2
MAPRE1,33,0.058702424,0.0017788614,1
MSMO1,72,0.05847843,0.0016244007,2
SLC2A1,50,0.058429226,0.0011685846,1
BDNF,102,0.058413967,0.0011453719,2
TSHB,31,0.058201894,0.0018774804,1
WNT11,176,0.057997167,0.0013181175,4
IL18,98,0.057761244,0.0011788008,2
MEF2A,162,0.05767772,0.0010681059,3
PPARGC1A,318,0.057641465,0.0010875749,6
BCAR1,520,0.057518374,0.00088489807,8
CXCR2,33,0.05744523,0.0017407646,1
CYP2C9,61,0.057361975,0.00094036025,1
IL6ST,42,0.05727468,0.0013636829,1
HRH2,72,0.057255607,0.0015904335,2
F2,89,0.05708654,0.00064142176,1
CDC42,161,0.05682404,0.00035294433,1
SCN5A,122,0.056663364,0.0009289076,2
VEGFC,238,0.056544933,0.0016630862,7
GUCY1B1,76,0.056528423,0.0014875901,2
SHH,88,0.05650238,0.001284145,2
DYRK2,8,0.05594809,0.006993511,1
TGFA,312,0.055833958,0.00071581994,4
KCNJ3,432,0.0556296,0.00077263336,6
MCEE,35,0.055619508,0.0015891287,1
ACAT2,50,0.05549366,0.0011098732,1
SLC7A6,37,0.055490203,0.0014997352,1
TSC1,53,0.055406127,0.0010453986,1
HLA-F,352,0.054450333,0.0017015729,11
GRM1,39,0.054144517,0.0013883209,1
HCK,49,0.054007422,0.0011021923,1
RIPK1,93,0.0537043,0.0005774656,1
FASLG,4416,0.053439524,0.0005808644,48
TAT,58,0.053368665,0.0018402988,2
DLL1,196,0.05320607,0.0010858382,4
HCN4,55,0.053199284,0.0009672597,1
CFLAR,34,0.052972574,0.0015580169,1
XPO1,1798,0.052753966,0.0008508704,29
FZD1,168,0.05273828,0.00094175496,3
GAB2,79,0.05269155,0.0006669816,1
AQP3,70,0.052540626,0.0015011607,2
NTRK1,92,0.052397184,0.0011390692,2
CSF1R,57,0.05209006,0.0009138607,1
FGFR3,158,0.051913023,0.0006571269,2
PDHB,462,0.051892374,0.0012355327,11
GAD1,41,0.05175745,0.0012623769,1
AOX1,96,0.05175107,0.0010781473,2
TPTEP2-CSNK1E,41,0.051712796,0.0012612877,1
ITGA6,225,0.0515771,0.0011461577,5
CAMK2A,240,0.051576592,0.00042980496,2
LAMTOR2,27,0.05156397,0.0019097767,1
TUBB1,35,0.051401757,0.0014686217,1
UGT1A1,44,0.051369578,0.0011674904,1
VAV1,321,0.051139105,0.00047793557,3
MAT2B,99,0.05090661,0.0015426246,3
IL10,870,0.050770767,0.0008753581,15
HSD3B1,37,0.05067037,0.0013694694,1
EDN1,250,0.050611746,0.001012235,5
YWHAZ,415,0.050575685,0.0006093456,5
CACNA1H,126,0.05043662,0.0008005813,2
SYK,672,0.05032135,0.00052418077,7
PSMB1,288,0.050211214,0.0013947559,8
ATP1A4,162,0.050025184,0.00030879743,1
DOCK1,392,0.049648218,0.001013229,8
IGF1R,74,0.04954036,0.0006694643,1
IFNAR2,94,0.049370088,0.0010504274,2
ARRB2,77,0.049317706,0.0006404897,1
CYP11A1,37,0.049316328,0.0013328737,1
CYP4F8,61,0.04926207,0.0008075749,1
COPB1,33,0.049183965,0.0014904232,1
FSHB,62,0.049169112,0.0015861003,2
HSPA1B,34,0.049026877,0.001441967,1
TRIO,136,0.04896504,0.0014401482,4
CCKBR,96,0.04887111,0.0015272222,3
BLM,74,0.048685886,0.0013158347,2
ITGAM,210,0.048627738,0.0013893639,6
RAC2,2044,0.04859281,0.00066565495,28
SYNJ1,26,0.048441377,0.0018631299,1
B4GALT1,76,0.0482181,0.0012688974,2
ARC,26,0.048199017,0.0037076166,2
NR3C1,275,0.048105367,0.00087464304,5
VAV2,92,0.04802214,0.00052197976,1
RUNX2,111,0.048008103,0.0012975164,3
CASP10,35,0.047891166,0.001368319,1
GTF2F1,53,0.04785237,0.0009028749,1
PSMD1,38,0.047615387,0.0012530364,1
PLD1,56,0.047585554,0.00084974203,1
RPLP2,27,0.047569275,0.0017618249,1
KRAS,891,0.047398683,0.00015959151,3
NFATC1,67,0.047336094,0.0007065089,1
YAP1,33,0.047244836,0.0014316617,1
PRKCB,418,0.047178775,0.00022573577,2
RBL1,35,0.0471219,0.00134634,1
GADD45A,1536,0.047055718,0.0007352456,24
SIRT1,46,0.04690154,0.0010195987,1
EIF2S2,28,0.046834815,0.001672672,1
HLA-G,231,0.046715405,0.0014156183,7
C3,165,0.04652321,0.0008458765,3
HLA-DRA,1044,0.046504762,0.0008018062,18
CLCNKA,31,0.046407793,0.0014970256,1
NDUFA4,168,0.04632704,0.001654537,6
ST3GAL3,34,0.04627263,0.0013609597,1
PRKCG,122,0.04624636,0.00037906854,1
ADCY9,214,0.04616157,0.00043141656,2
VWF,123,0.046132132,0.001125174,3
PPP1R12A,27,0.046086974,0.001706925,1
IFNL1,10,0.04598695,0.004598695,1
PRKAG2,65,0.045922257,0.00070649624,1
BUB3,264,0.04586377,0.0013898113,8
APOB,424,0.04575317,0.00086326734,8
VKORC1,30,0.04568269,0.0015227564,1
KIF2A,81,0.045583498,0.0016882777,3
H4C8,470,0.045471687,0.00048374134,5
NOD2,200,0.045382068,0.0011345517,5
GLUD1,53,0.045368813,0.00085601537,1
HMGCR,48,0.045303542,0.0009438238,1
MAD2L1,102,0.045272823,0.0013315537,3
ABCB11,34,0.045239985,0.0026611756,2
HSPB1,33,0.045211967,0.0013700596,1
DYNC1I1,123,0.045080453,0.0010995233,3
ADCY10,37,0.044754587,0.0012095835,1
GSS,30,0.04471056,0.0014903521,1
MYC,177,0.04470754,0.00025258498,1
F13B,32,0.04461205,0.0013941266,1
LAMB2,32,0.044517692,0.0013911779,1
PSEN2,152,0.04445093,0.0011697613,4
ADRB2,196,0.044388715,0.0009058921,4
ESR1,158,0.044363305,0.00056156085,2
WNT9A,33,0.044305768,0.001342599,1
ACSL6,87,0.044272855,0.0015266502,3
CYP2S1,52,0.044231612,0.0017012159,2
KAT2A,45,0.044120036,0.0009804453,1
PTGIR,28,0.043997783,0.0015713495,1
HDAC2,88,0.043992598,0.00049991586,1
MYLK,80,0.043977816,0.0005497227,1
NOTCH4,558,0.043939333,0.0014173979,18
KDR,354,0.04391552,0.0007443309,6
C3AR1,26,0.043851312,0.001686589,1
PLA2G4E,34,0.04371194,0.0012856453,1
BCL2,630,0.043647066,0.0003464053,5
WNT4,330,0.043601304,0.0007927509,6
IFNAR1,147,0.043563563,0.00088905235,3
FUS,210,0.04348716,0.0010354086,5
IL15,96,0.04329136,0.0018038066,4
SMO,66,0.04309328,0.001305857,2
OPRM1,462,0.043065246,0.00055928895,6
MEF2C,81,0.04306329,0.00053164555,1
IL10RB,44,0.0429354,0.0019516093,2
CSNK1A1,90,0.04277873,0.00095063844,2
HLA-DQA2,1118,0.042746447,0.0009941035,26
PLCG2,210,0.0427397,0.00040704478,2
TCF7L2,330,0.042725835,0.0007768334,6
IFNGR1,328,0.042691883,0.0010412654,8
CD3E,86,0.04262249,0.0009912207,2
AKR1B1,86,0.042446665,0.0009871317,2
CEBPA,87,0.0424064,0.0014622897,3
GLI2,104,0.042189702,0.0016226808,4
YES1,64,0.042027827,0.0006566848,1
NUP93,79,0.042023625,0.0005319446,1
EHMT2,24,0.042013217,0.0017505507,1
PTGIS,142,0.041987754,0.0005913768,2
GUCY1A2,152,0.041984655,0.0011048594,4
MED1,56,0.041927025,0.0014973937,2
SLC3A1,70,0.04185333,0.0011958096,2
SDHB,42,0.04183802,0.0009961433,1
COL4A3,36,0.04181448,0.0011615134,1
TFRC,120,0.04177792,0.001044448,3
TFAP2A,200,0.041749313,0.0016699724,8
CSF2,385,0.04163135,0.00075693364,7
PDGFB,1900,0.041628752,0.0005477467,25
HLA-A,1166,0.041625436,0.0007853856,22
ARF6,27,0.04159231,0.001540456,1
HTR7,26,0.04158174,0.0015992976,1
IL6,284,0.04150483,0.0002922875,2
FGF4,300,0.04149514,0.00041495144,3
FDFT1,82,0.041472077,0.0010115141,2
CDKN2A,81,0.04134522,0.0005104348,1
AMPD1,23,0.041283637,0.0017949408,1
IGF2,128,0.041217137,0.0012880355,4
HLA-DQB1,1118,0.041173756,0.0009575292,26
TUBB2B,28,0.041079856,0.0014671377,1
FOSL1,27,0.041077357,0.0015213835,1
MCM3,75,0.041050274,0.001642011,3
MCM6,24,0.041040584,0.0017100243,1
KCNE1,55,0.041038916,0.0007461621,1
ASS1,99,0.041017767,0.0012429625,3
INCENP,44,0.040694572,0.0018497533,2
NOS2,1856,0.040618673,0.000700322,32
MEN1,21,0.04056573,0.0019317014,1
CEP290,23,0.04056178,0.0017635557,1
BCL10,105,0.04051728,0.0011576366,3
F13A1,175,0.0405124,0.0011574972,5
GRB7,104,0.04045133,0.0015558203,4
SLC19A2,9,0.040243175,0.004471464,1
RBPJ,1485,0.04014551,0.0008921224,33
RPL31,26,0.040138204,0.0015437771,1
SULT1A1,25,0.04008268,0.0016033071,1
IL2RA,1980,0.04003316,0.0007278757,36
APC,64,0.040019862,0.00062531035,1
MAVS,90,0.03997876,0.0013326254,3
CXCR4,162,0.039769385,0.0007364701,3
GMPR,23,0.039660875,0.0017243859,1
PRL,182,0.039621513,0.0015239045,7
PYGL,22,0.039427955,0.0017921798,1
TXNRD1,26,0.039398093,0.0015153113,1
TCF7L1,112,0.039392103,0.00070343044,2
SLC12A3,33,0.039258096,0.0011896393,1
ALDH3A2,59,0.03921309,0.00066462863,1
MAPKAPK2,1701,0.03918199,0.00048372828,21
KIF18A,26,0.039082333,0.0015031666,1
DPYS,23,0.03907359,0.0016988517,1
F5,92,0.039070297,0.0008493543,2
PIP4K2C,56,0.03898152,0.0013921971,2
INPP5D,648,0.03897283,0.00072171906,12
KIT,427,0.03890318,0.00063775707,7
TP73,32,0.038809475,0.0012127961,1
WASL,120,0.03876549,0.00064609153,2
HMGB1,30,0.03869385,0.0012897949,1
CLASP1,37,0.038680226,0.0010454115,1
CYP26B1,120,0.03866358,0.0016109826,5
STEAP3,24,0.038603142,0.0016084643,1
PIK3C3,342,0.038556304,0.00067642634,6
PDK1,27,0.038500853,0.0014259575,1
CXCR1,128,0.038467105,0.001202097,4
LYN,2147,0.03831471,0.00033906824,19
CDH1,420,0.0382126,0.0005458943,6
CALCA,312,0.03814733,0.001589472,13
CYP2C18,21,0.03805454,0.001812121,1
NOS3,78,0.0380026,0.00048721282,1
SLC1A1,1066,0.037941374,0.0009253994,26
PDE10A,120,0.037929222,0.0012643073,4
CD14,106,0.037920017,0.00071547204,2
INSR,70,0.037799142,0.00053998776,1
CPS1,324,0.037790354,0.0010497322,9
STK11,210,0.037774947,0.0010792841,6
POM121C,112,0.03775254,0.0006741524,2
NRG3,1012,0.0377503,0.0008579613,23
MCCC2,27,0.037719075,0.0013970027,1
ST3GAL1,372,0.037596587,0.0012127933,12
NCOR2,65,0.037573226,0.0005780496,1
EDNRA,30,0.037383433,0.0012461145,1
GTF2H4,50,0.037220277,0.00074440555,1
PMAIP1,224,0.037027333,0.0011571042,7
IVD,26,0.036912274,0.0014197028,1
PLA2G4F,35,0.0368528,0.0010529371,1
MMP13,42,0.036828592,0.0017537423,2
SLC1A5,396,0.036804963,0.001115302,12
GNG7,182,0.036690455,0.00040319178,2
ENTPD1,17,0.03659986,0.0021529328,1
ADRA1B,87,0.0364714,0.0012576345,3
DIAPH1,34,0.036284175,0.0010671816,1
RXRG,93,0.03626859,0.0011699543,3
CKB,24,0.036236674,0.0015098614,1
RPL23,27,0.036235347,0.0013420499,1
MAP2K6,144,0.036161654,0.0002511226,1
MAD1L1,104,0.036144152,0.0013901597,4
LBP,21,0.03608956,0.0017185503,1
CENPO,21,0.036078826,0.0017180393,1
MGST1,84,0.03601617,0.0012862918,3
RMI2,391,0.036014777,0.0015658599,17
SLC25A20,16,0.036000025,0.0022500015,1
BRK1,29,0.035968415,0.0012402902,1
STX4,21,0.035896197,0.0017093427,1
ARPC2,160,0.03589074,0.0008972685,4
CTDP1,75,0.035849843,0.0014339937,3
ANPEP,20,0.035843935,0.0017921968,1
UGT2B15,50,0.035800528,0.0014320211,2
HIPK2,22,0.035786178,0.0016266444,1
SH3GL3,22,0.035784397,0.0016265635,1
SYT1,192,0.035665385,0.0014860576,8
TRAF1,60,0.035614718,0.0011871572,2
ERBIN,58,0.03560584,0.0012277875,2
TNFSF11,175,0.035599794,0.0014239916,7
PTGDR,168,0.03559605,0.00169505,8
UBE2D1,264,0.03541901,0.00053665164,4
ALDH4A1,31,0.03541603,0.0011424526,1
PDIA6,20,0.035415217,0.0017707609,1
IL11,50,0.035282265,0.0014112907,2
KCNQ1,65,0.03524776,0.0005422733,1
DBH,22,0.0352365,0.0016016591,1
STAT1,850,0.03517633,0.00020691958,5
BDKRB1,21,0.03517412,0.0016749582,1
MALT1,99,0.035030197,0.0010615211,3
PTH,46,0.035004493,0.0015219345,2
TNFRSF1A,380,0.034989454,0.00046038753,5
VIPR2,34,0.03495487,0.0020561689,2
SDC3,25,0.03493772,0.0013975088,1
IL1R1,736,0.034881756,0.000758299,16
SLC38A4,43,0.03469753,0.0008069193,1
ACOX3,29,0.034664124,0.0011953146,1
PLD2,49,0.034659833,0.0007073435,1
GRIN1,111,0.03458155,0.0003115455,1
GSTA5,18,0.03458075,0.0019211527,1
CALCB,126,0.034417257,0.0016389169,6
FABP5,13,0.034416877,0.002647452,1
PPP5C,32,0.03439073,0.0021494206,2
IL4,354,0.03436361,0.00058243406,6
SOCS2,22,0.034356043,0.0015616383,1
TLN1,51,0.03432399,0.00067301944,1
TAOK1,23,0.03429731,0.0014911874,1
BDKRB2,116,0.034297045,0.0011826567,4
CD40,1050,0.03428087,0.0009794534,30
IL2RB,396,0.034265123,0.0007787528,9
WIPF1,24,0.03425474,0.0014272808,1
KLB,34,0.034233868,0.0010068784,1
CHMP4B,18,0.0342161,0.0019008943,1
SCN10A,122,0.034151386,0.0005598588,2
KCND3,56,0.034141663,0.00060967257,1
GCDH,29,0.03414097,0.0011772749,1
COX6B1,27,0.034063477,0.0012616103,1
CEP152,16,0.03402643,0.0021266518,1
DDX58,38,0.033909384,0.0008923522,1
CDK8,174,0.03362779,0.0011595789,6
CYP2J2,138,0.03354665,0.00048618327,2
AOC1,180,0.033545848,0.001118195,6
CDC7,168,0.033525396,0.0015964474,8
RPL10L,50,0.03350997,0.0013403988,2
HLA-E,2016,0.03349613,0.000930448,56
PNMT,22,0.03345771,0.0015208051,1
GNAT3,23,0.033420637,0.0014530711,1
IL5RA,50,0.033418678,0.0013367472,2
BMP2,78,0.03340904,0.0008566421,2
LEP,29,0.03337599,0.0011508962,1
CRK,106,0.033299845,0.00031414948,1
ACLY,21,0.03325958,0.0015837896,1
TNRC6A,32,0.033223033,0.0010382198,1
KIAA1549,37,0.033190213,0.0008970328,1
TBP,102,0.03317794,0.0006505478,2
UGT1A10,99,0.033123102,0.0010037305,3
HSPA1L,22,0.033013847,0.0015006294,1
PTK2,298,0.032991923,0.00022142232,2
IL1RAP,60,0.0329822,0.0010994067,2
MYH11,23,0.032952376,0.001432712,1
TEK,69,0.03290705,0.0014307412,3
PPBP,20,0.032905515,0.0016452757,1
COL4A1,84,0.032700706,0.0007785883,2
HLA-B,1406,0.03266359,0.0008827997,38
CHST12,10,0.032563157,0.0032563158,1
CDC37,152,0.032499347,0.000855246,4
DHFR,68,0.0324737,0.0009551087,2
KLC1,22,0.03239443,0.0014724742,1
TIAM1,102,0.032371033,0.0006347261,2
GHRH,21,0.03230317,0.0015382462,1
FGF10,73,0.03229929,0.00044245605,1
SAA1,19,0.03227765,0.0016988238,1
FRAT2,17,0.0322665,0.0018980295,1
ACTN2,31,0.0322371,0.0010399065,1
CYP4F12,44,0.032211058,0.001464139,2
KL,160,0.03218451,0.0008046128,4
PTPRJ,36,0.032180164,0.0017877868,2
SPTBN5,18,0.032071635,0.0017817575,1
MAML2,74,0.03198862,0.0008645573,2
FGF2,250,0.03184668,0.00025477345,2
NELFE,52,0.031713862,0.0012197639,2
XDH,294,0.03168661,0.0007544432,7
HDAC3,68,0.031682666,0.00046592156,1
GMPS,35,0.031642042,0.00090405834,1
RUNX1,494,0.031638496,0.000832592,13
KCNE2,162,0.03154683,0.00058420055,3
HLA-C,828,0.031537656,0.0008760459,23
DRD2,162,0.03151593,0.0011672566,6
LMAN1,69,0.03150402,0.00136974,3
PELI2,144,0.03148898,0.0013120407,6
HLA-DPA1,1161,0.031422976,0.000730767,27
VDAC1,140,0.031402342,0.0008972098,4
NCSTN,44,0.0313848,0.0007132909,1
ANAPC1,88,0.031299226,0.0007113461,2
FTH1,40,0.031296078,0.001564804,2
JAK1,468,0.03129206,0.00020059012,3
CLIP1,48,0.031238489,0.0013016037,2
GRIN3B,15,0.031189539,0.0020793027,1
RPLP1,26,0.031091625,0.0011958317,1
HLA-DQA1,308,0.031061348,0.0007059397,7
AP2A1,56,0.030968443,0.0005530079,1
TOP2A,18,0.030852478,0.0017140266,1
CSF1,124,0.030835774,0.0009947025,4
LCP2,30,0.030675126,0.0010225042,1
ZAP70,96,0.030530099,0.0006360437,2
NOTCH1,284,0.030517794,0.00042982807,4
COX7C,135,0.030494222,0.0011294156,5
CD247,57,0.030433081,0.0005339137,1
SMARCC1,17,0.030403627,0.0017884487,1
CEP250,17,0.030390054,0.0017876503,1
SDHC,1189,0.03038116,0.0007410039,29
