gene_i,gene_j,pair_importance,n_shared_pathways
ATP1B1,ATP1B2,0.00018274465305351262,149
NUP62,NUP85,0.00017440734515616896,58
H2BC13,H2BC3,0.00016634663720971332,55
NUP160,NUP62,0.00016524557970587495,116
ADCY1,ADCY7,0.00015430337435717867,330
NUP160,NUP85,0.0001470034926107644,130
H2BC11,H2BC3,0.00014326609909121046,165
H2BC11,H2BC13,0.00014167884446732634,165
H2BC3,H2BC6,0.00013394515062259416,55
CCNH,MNAT1,0.00013237790581562456,153
ATP1B1,CACNA2D2,0.00012857199085836241,1020
ATP1B1,KCNJ11,0.00012827867998055353,51
MAPK3,SRC,0.00012651266322747518,344
H2BC13,H2BC6,0.00012183527210396505,55
FGB,FGG,0.00012113238961848627,108
KCNJ11,TNNT1,0.00012097558182174357,147
H2BC11,H2BC6,0.00011940740448183422,165
ABCC8,KCNJ11,0.00011858085439679182,168
ADCY5,ADCY7,0.00011692690768116965,162
CYP4A11,CYP4F3,0.00011345323688427555,100
ATP1B2,CACNA2D2,0.00011156613979968716,1020
CYP2C8,CYP4F3,0.00011018509736127058,96
ADCY1,ADCY5,0.00010486568067302748,108
CYP2C8,CYP4A11,0.00010270523839039924,48
H2BC13,H2BC4,0.00010164089822350952,110
CYP2C8,GGT1,0.00010076009282755649,44
KCNH2,KCNJ11,0.00010043121992664439,147
H2AZ2,H2BC3,9.877773919697574e-05,38
H2BC3,H2BC4,9.824155685755898e-05,110
H2AZ2,H2BC13,9.520935196061231e-05,38
KCNJ11,KCNK1,9.464602750058893e-05,196
ATP1B1,TNNT1,9.430288282352706e-05,147
H2BC11,H2BC4,9.331268928384577e-05,330
CYP4F2,CYP4F3,9.312647956102871e-05,110
RAC1,SRC,9.310247749393097e-05,236
CYP4F3,GGT1,9.290092841407471e-05,92
CYP2C8,CYP4F2,9.288205571600372e-05,50
ITPR1,KCNJ11,9.224996225718652e-05,159
CACNA2D2,KCNJ11,9.1935163187104e-05,510
ABCC8,TNNT1,9.135058822801806e-05,441
F13B,FGB,8.911886186393353e-05,58
ATP1B2,KCNJ11,8.881175504882322e-05,51
FGG,PLG,8.843115359269405e-05,32
CYP2C8,LTA4H,8.735684897653861e-05,92
KCNH2,TNNT1,8.558733055426722e-05,441
ABCC8,ATP1B1,8.528625237243699e-05,150
HRAS,MAPK3,8.506843118009241e-05,2128
H2BC4,H2BC6,8.34774084090828e-05,110
CYP4F2,GGT1,8.326007558601134e-05,46
CYP4A11,CYP4F2,8.279481784523313e-05,54
ATP1B1,ITPR1,8.212357123218415e-05,162
CYP4F3,LTA4H,8.174179620207105e-05,184
KCNJ11,SLC8A1,8.16341936979377e-05,900
F13B,PLG,8.044598924072943e-05,27
CACNA2D2,TNNT1,8.036980965469862e-05,1470
CALM1,KCNJ11,8.03531306430294e-05,49
H2AZ2,H2BC11,7.993060071914693e-05,114
FGA,FGB,7.98317466706894e-05,216
CYP4A11,GGT1,7.96580708808392e-05,44
GGT1,LTA4H,7.851616396381544e-05,94
MAP2K1,MAPK3,7.828603821491073e-05,300
ATP1B1,KCNH2,7.797216393597613e-05,147
CYP4A11,LTA4H,7.794819552753296e-05,90
ABCC8,CACNA2D2,7.779030631619185e-05,1680
KCNJ11,RYR2,7.725318412643567e-05,102
MAPK3,PIK3R1,7.704855375819698e-05,408
H2AZ2,H2BC6,7.699174065400882e-05,38
F13B,VKORC1,7.684861995471692e-05,24
KCNK1,TNNT1,7.674956596293026e-05,588
ITPR1,TNNT1,7.614340732443172e-05,441
HRAS,SRC,7.611388583539695e-05,1344
ATP1B2,TNNT1,7.609866745876086e-05,147
FGA,FGG,7.603030851135659e-05,112
HCN4,KCNJ11,7.595625825462804e-05,49
ADCY3,ADCY7,7.581203040838795e-05,324
H3-3A,HDAC2,7.409228490384834e-05,6
JAK2,STAT3,7.406560064733553e-05,2961
PIK3R1,SRC,7.381330693719684e-05,288
ADCY1,ADCY3,7.35336014769058e-05,216
ADCY1,ADCY8,7.316149006551538e-05,1888
RPL23,RPLP2,7.30485415001425e-05,18
FGB,PLG,7.290995472170048e-05,64
ADCY7,ADCY8,7.276301005521299e-05,2592
ABCC8,KCNH2,7.268494346110123e-05,441
RPL23,RPL31,7.253429776454823e-05,18
CYP4F2,LTA4H,7.236769996532555e-05,94
ATP1A4,ATP1B1,7.105646912319852e-05,148
ATP1B1,CALM1,7.095487097075193e-05,52
FDFT1,MSMO1,7.035806674804412e-05,132
PIK3CB,PIK3R1,6.982139674995751e-05,368
ATP1B1,SLC8A1,6.938533423561773e-05,954
DRD1,PCSK2,6.92701078568556e-05,1820
F13B,FGG,6.926960717379416e-05,28
CCNH,POLR2H,6.741091954524474e-05,99
NUP62,SEH1L,6.720532679034188e-05,720
SLC8A1,TNNT1,6.719839381043655e-05,2646
ATP1B1,KCNK1,6.715716495220292e-05,196
ABCC8,KCNK1,6.709803141913273e-05,588
CALM1,TNNT1,6.697410461768231e-05,147
ADCY2,ADCY7,6.693115346552887e-05,162
UBC,UBE2S,6.687840127968941e-05,44
ACADM,ACADSB,6.671558751714102e-05,102
ABCC8,CALM1,6.661603822296265e-05,147
RYR2,TNNT1,6.618501412458677e-05,294
KCNJ11,SCN5A,6.587582888517574e-05,98
MAPK1,MAPK3,6.587153658224567e-05,1040
HCN4,TNNT1,6.575003614891124e-05,147
CACNA2D2,KCNH2,6.572004166436825e-05,1470
NUP160,SEH1L,6.571484808393056e-05,1720
ADCY1,PRKACG,6.57107293852155e-05,110
KCNA5,KCNJ11,6.556237326919971e-05,539
RFC5,RPA3,6.537254617561272e-05,92
H2AZ2,HDAC2,6.533192468083371e-05,5
ATP1B1,PCSK2,6.530044627953702e-05,260
