gene,importance_sum,degree,importance_mean
MAPK3,0.4398891,508,0.0008659234314452945
SRC,0.3390896,316,0.0010730683614936056
UBC,0.3129618,296,0.0010573033344101262
PIK3R1,0.222141,454,0.0004892973516481038
RAC1,0.21516863,291,0.000739411082874049
CALM1,0.20980778,247,0.0008494242241508083
RELA,0.2006302,271,0.0007403328519905625
ATP1B1,0.19179648,166,0.0011554004916225571
PIK3CD,0.18051201,190,0.0009500632160588314
TNF,0.17963633,173,0.001038360285621158
ATP1B2,0.17139728,165,0.001038771416201736
PIK3CB,0.15811314,235,0.000672821859095959
NUP62,0.15744407,89,0.0017690345477522089
MAP2K1,0.15634517,336,0.0004653130170135271
PPP2R5D,0.15522403,113,0.0013736639402608956
H2BC3,0.14933743,89,0.0016779486048087646
PRKACG,0.14929453,187,0.0007983664459085719
PLCG1,0.14743768,233,0.0006327797287011863
H2BC13,0.14144784,88,0.0016073618422855031
ADCY5,0.14034656,114,0.0012311101482625592
BRAF,0.13871275,141,0.0009837783608876221
NUP85,0.13646612,93,0.001467377588313113
GNB4,0.13341081,89,0.0014989978811714086
NFKB1,0.13310032,286,0.0004653857200295775
FGG,0.13233207,85,0.0015568479019052843
MAPK8,0.13212079,308,0.0004289635977187714
ITPR1,0.13169818,173,0.0007612611344783981
RHOA,0.12892176,209,0.000616850536405755
CYP2C8,0.12493726,89,0.001403789423154981
UBE2N,0.124592796,82,0.0015194243410738503
H2BC6,0.123942815,88,0.001408441076901826
HRAS,0.121740766,397,0.0003066518031980289
ADCY1,0.12020899,124,0.0009694273673718976
PTPN6,0.11821048,78,0.0015155189694502414
PPP2R1B,0.11772899,119,0.0009893192714001953
PPP3R1,0.11554333,67,0.0017245272869494423
CALM3,0.11423734,232,0.000492402320278102
RPA3,0.11260246,75,0.001501366098721822
MAPK1,0.11182299,522,0.00021422029226675801
KCNJ11,0.11160382,66,0.0016909669520276966
MAPK14,0.11085005,286,0.00038758759106789434
RAP1B,0.10978297,70,0.0015683281634535108
MAP2K3,0.10693807,122,0.0008765415700732684
IQGAP1,0.10638297,58,0.0018341891981404402
PPP2CA,0.10587707,153,0.0006920070040459727
GSK3B,0.105815716,213,0.0004967873994733246
ROCK2,0.10391266,74,0.0014042251214787767
TBK1,0.10229811,65,0.0015738170880537767
PPP2R5E,0.10226132,55,0.0018592967228455977
GGT1,0.10116551,70,0.0014452215816293443
MNAT1,0.10038899,67,0.0014983431172015062
PAK2,0.10012646,98,0.0010216985734141603
GRB2,0.09885569,386,0.00025610282167869527
CYP4A11,0.0972785,64,0.0015199765330180526
CCND1,0.097011186,164,0.0005915316230640179
CYP3A4,0.09450271,100,0.0009450270980596542
JAG1,0.093861826,58,0.0016183073407617108
NUP160,0.09364038,92,0.0010178302131269288
GNAS,0.09361699,132,0.0007092196381453311
GNB1,0.093523525,156,0.0005995097737281751
CSNK2B,0.093205236,59,0.001579749760991436
FGB,0.0927725,79,0.0011743354269220859
WNT3A,0.091360845,57,0.0016028218363460741
CSK,0.08943553,57,0.0015690444331420096
POLR2H,0.08939061,80,0.0011173826642334461
PRKCA,0.08899191,260,0.000342276577766125
TRAF6,0.08854036,161,0.0005499401262828282
PIK3R2,0.086524844,275,0.0003146357969804244
DVL3,0.0863266,55,0.0015695745294744318
H2AZ2,0.086150825,63,0.0013674734130738274
PLG,0.08590151,55,0.0015618457035584882
CCND3,0.08517663,50,0.0017035326361656189
RHEB,0.084961414,54,0.0015733595247621889
ADCY7,0.08491447,106,0.0008010798889511036
CXCL8,0.084828734,92,0.0009220514608466107
ERBB2,0.083569996,97,0.000861546351123102
PEDS1,0.083394535,54,0.001544343238627469
RXRA,0.083343,88,0.0009470795365897092
KAT5,0.08273684,56,0.0014774436131119728
PC,0.08273386,50,0.001654677242040634
FOS,0.082473606,202,0.0004082851775802008
PLCB1,0.08185462,178,0.0004598574105943187
AGTR1,0.08173359,120,0.0006811132654547692
CCNE1,0.08152156,92,0.0008861039481733156
ADCY2,0.08131041,119,0.0006832807254390556
CDK1,0.08107005,121,0.0006700004181586022
CUL1,0.0798488,122,0.0006544983899984204
ACE,0.07667531,47,0.0016313895900198754
GNAI1,0.07639456,105,0.0007275672185988653
DYNC1H1,0.076327905,58,0.0013159983630838066
PTGS2,0.075922094,115,0.0006601921242216359
FRS2,0.0759169,80,0.0009489612653851509
EGFR,0.07550039,205,0.00036829459231074263
BTRC,0.07477829,96,0.0007789405062794685
SHC2,0.07475183,54,0.0013842931776135057
CYP4F2,0.07437151,64,0.0011620548320934176
IFNA2,0.074199244,52,0.0014269085457691779
YWHAB,0.07409939,95,0.0007799935968298661
H3-3A,0.07400617,67,0.0011045697020060981
ACADM,0.07317258,57,0.0012837294162365428
IGF1,0.07285434,81,0.0008994362972400806
CYP1A2,0.07283297,68,0.0010710731148719788
RRM2,0.07282649,57,0.001277657715897811
H2BC11,0.072278626,88,0.0008213480257175186
GNG12,0.07201491,107,0.0006730365697468553
GNAO1,0.07144251,46,0.001553097982769427
IFNA5,0.069732614,51,0.0013673061541482514
GNAI3,0.068893135,84,0.0008201563642138527
PLCB2,0.06808884,117,0.0005819558715208983
SERPINE1,0.06794173,42,0.001617660302491415
MRE11,0.06742632,51,0.0013220846360804989
PSMD12,0.06735544,40,0.0016838859766721726
MAPK10,0.066989854,154,0.0004349990518062146
FAS,0.066349,79,0.0008398607561859903
STAT3,0.06607087,206,0.0003207323765291751
GAB2,0.06546829,79,0.000828712518456616
FGA,0.0650006,82,0.0007926902574736898
LEF1,0.06484026,69,0.0009397138719973357
TSC1,0.06471972,53,0.001221126824055078
HDAC2,0.06409321,88,0.0007283319295807319
IFNA13,0.06406923,55,0.0011648950251665982
CDC42,0.06288939,161,0.0003906173272902921
FOXO3,0.06281307,96,0.0006543028478821119
CYCS,0.06269274,99,0.0006332599906006245
FOXO1,0.06225663,92,0.0006767025055444759
PLA2G4F,0.06155708,35,0.0017587737313338688
ATP1A4,0.061033137,162,0.00037674776013986563
TRAF3,0.06038596,66,0.0009149388043266354
PSMD7,0.06002463,39,0.0015390930840602289
STAT5A,0.059789237,132,0.00045294876238613415
CFLAR,0.05958328,34,0.0017524494186920278
JUN,0.0595584,285,0.00020897683867237025
CD3D,0.059436146,45,0.0013208032482200198
MYC,0.05921385,177,0.0003345415290802886
CACNA1A,0.05885504,86,0.0006843609518783037
CDK9,0.058797188,46,0.0012781997413738914
CYP4F3,0.05848465,59,0.0009912652737003261
LMNA,0.05844637,38,0.0015380623701371644
PPP2R1A,0.058064334,146,0.00039770091845564646
CHEK2,0.057744455,42,0.0013748679664872942
ITGB1,0.057645798,125,0.0004611663818359375
GRM1,0.05761723,39,0.0014773648327741867
HMOX1,0.057497047,43,0.0013371406252994094
SLC7A6,0.05743201,37,0.0015522165072930825
AKT3,0.05735569,212,0.0002705457110731107
VAV2,0.057327338,92,0.0006231232343808464
ACTB,0.057116874,87,0.0006565157880728272
F13B,0.056861572,32,0.0017769241239875555
PTGS1,0.056834836,73,0.000778559391220955
GNG4,0.056829683,90,0.000631440927584966
