gene_i,gene_j,pair_importance,n_shared_pathways
CALM3,HCN4,6.88500601991951e-05,49
ATP1B2,PCSK2,6.865125594895382e-05,260
ABCC8,SCN5A,6.82992108355096e-05,294
CYP1A1,CYP1A2,6.82309473738485e-05,64
ATP1B1,TNNT1,6.82302352907153e-05,147
KCNA5,TNNT1,6.82080305762716e-05,1617
ABCC8,KCNJ4,6.797922292054472e-05,300
ATP1B1,ITPR1,6.792225426612197e-05,162
F13B,FGB,6.784148251485524e-05,58
CYP1A2,CYP3A4,6.760084254281429e-05,84
ATP1B2,KCNK1,6.750289505108586e-05,196
ARC,EGR4,6.750262261131915e-05,6
DRD1,PCSK2,6.749377373790433e-05,1820
FGG,PLG,6.74690095578967e-05,32
CALM1,CALM3,6.71112077032519e-05,143
H2BC6,H3-3A,6.707449522291853e-05,30
NFKBIA,RELA,6.704125722313468e-05,8262
HCN4,TNNT1,6.694002737633875e-05,147
MAP2K1,MAPK3,6.684334714016801e-05,300
ABCC8,CALM1,6.643074711470502e-05,147
ABAT,SLC1A7,6.590771446646215e-05,2
ITPR1,KCNH2,6.585647285234335e-05,441
KCNH2,TNNT1,6.575523165494822e-05,441
DPYS,PPCDC,6.571636913577095e-05,1
ATP1B2,SLC8A1,6.560584997585147e-05,954
RFC5,RPA3,6.551315785634226e-05,92
AQP3,NR3C2,6.542059313037196e-05,280
ADCY1,GNAI1,6.512040165202273e-05,144
CACNA2D2,TNNT1,6.508194846545225e-05,1470
ACE,AGTR1,6.490609114083445e-05,56
ITPR1,SLC8A1,6.487692297005845e-05,2808
PEDS1,UBE2N,6.485061506822376e-05,22
SLC12A3,SLC7A6,6.47735350218781e-05,28
CYP2C8,CYP4F8,6.477247667677167e-05,54
CYP11A1,HSD3B2,6.434467689042656e-05,23
CALM3,CHRM2,6.419793178480423e-05,392
CYP4F3,PTGS1,6.341486688740683e-05,94
HCN4,ITPR1,6.33211994287286e-05,147
FRS2,PIK3CB,6.297534853011563e-05,36
ACAT2,ALDH9A1,6.282535544218336e-05,8
KCNJ11,KCNJ4,6.275667199477641e-05,100
NFKB1,RELA,6.249678203187892e-05,172
ITPR1,KCNA5,6.236545781607938e-05,1617
CACNA2D2,DRD1,6.214555643922253e-05,3640
AMPD1,GMPR,6.16221231055647e-05,22
HCN4,KCNK1,6.150866160425927e-05,196
DPYS,PANK1,6.137679883977398e-05,1
NUP160,SEH1L,6.107848710963232e-05,1720
ATP1B1,KCNK1,6.079033923203636e-05,196
ATP1B1,KCNH2,6.066617706090849e-05,147
CDC16,UBE2S,6.0643543075965256e-05,100
AGTR1,CALM3,6.06395041236128e-05,102
CACNA2D2,KCNK1,6.0465281877398286e-05,1960
ACADM,MCEE,6.018044763322905e-05,25
CALM1,KCNA5,6.001443298982046e-05,539
CACNA2D2,PCSK2,5.9893144568990253e-05,2600
KCNH2,KCNK1,5.9729898005286136e-05,588
ADCY2,ADCY7,5.964561793166586e-05,162
KCNA5,KCNK1,5.9623965583715064e-05,2156
GNAI1,GNAI3,5.929258587237112e-05,123
CYP2C8,PTGS1,5.92206730933853e-05,48
IGF1R,PIK3CB,5.920070486386384e-05,28
ATP1B2,HCN4,5.90082099367617e-05,49
CYP4F3,PTGS2,5.872420113852122e-05,184
JAK2,STAT3,5.8714806979034134e-05,2961
SLC8A1,TNNT1,5.853019631565399e-05,2646
CALM1,ITPR1,5.846288989130259e-05,225
CLCNKA,NR3C2,5.8372865770195406e-05,140
MNAT1,POLR2H,5.832318101095524e-05,33
CLCNKA,SLC22A2,5.8260434097157086e-05,140
CACNA2D2,KCNA5,5.819370717095655e-05,5390
HSD3B1,HSD3B2,5.809820111668529e-05,29
CYP2C8,PTGS2,5.7877714207062864e-05,100
H2BC4,H3-3A,5.7834882990276046e-05,60
PIK3CB,PIK3R2,5.773022073865295e-05,616
AQP3,CLCNKA,5.7666498470165806e-05,56
ADCY1,GNAS,5.7381057991579e-05,152
IGF1,PIK3CB,5.72707461765301e-05,78
DRD1,GRIN2A,5.721857241860886e-05,2842
