gene,degree,importance_sum,importance_mean,n_nodes
SRC,632,0.53100073,0.0016803821,2
MAPK3,1016,0.48056212,0.00094598846,2
RELA,542,0.341043,0.0012584612,2
PIK3R1,908,0.33955103,0.0007479097,2
UBC,296,0.29839423,0.0010080886,1
RAC1,582,0.27656674,0.0009504011,2
PIK3CD,190,0.24588422,0.0012941275,1
MAPK14,572,0.24516714,0.0008572278,2
HRAS,3176,0.2437036,0.000613863,8
STAT3,618,0.23572533,0.0011442978,3
CALM3,232,0.21720786,0.0009362408,1
PIK3CB,470,0.20805433,0.0008853376,2
ITPR1,519,0.20473468,0.0011834374,3
ATP1B2,165,0.20097505,0.0012180306,1
ADCY1,248,0.19920549,0.0016064959,2
CALM1,247,0.19551888,0.0007915744,1
PIK3R2,1100,0.19049223,0.000692699,4
JAK2,3738,0.18417709,0.0010347028,21
TNF,173,0.17953165,0.0010377552,1
PPP2R5D,113,0.17342782,0.0015347594,1
ADCY7,318,0.1725185,0.0016275331,3
ATP1B1,166,0.17131186,0.0010319991,1
MAPK8,616,0.17126101,0.00055604224,2
MAP2K1,336,0.16511211,0.0004914051,1
CCND1,656,0.15355921,0.00093633664,4
CYCS,396,0.15201187,0.0015354735,4
GSK3B,852,0.15040205,0.00070611294,4
GNAS,264,0.14862624,0.0011259564,2
H2BC11,264,0.14757405,0.001676978,3
NFKB1,286,0.14516512,0.00050757034,1
CYP2C8,89,0.14462297,0.0016249771,1
NFKBIA,10200,0.14369519,0.000718476,51
NUP62,89,0.14280987,0.0016046052,1
GNB4,89,0.1397794,0.0015705551,1
PTPN11,1393,0.13885334,0.00069775555,7
EGFR,615,0.13862683,0.0006762285,3
BTRC,96,0.13681965,0.0014252047,1
IFNG,2910,0.13581528,0.0014001575,30
CACNA2D2,1290,0.13571908,0.0010520859,10
NUP160,184,0.13530385,0.0014706941,2
GRB2,386,0.13497764,0.000349683,1
H2BC3,89,0.13345039,0.0014994426,1
H2BC13,88,0.13302787,0.0015116803,1
PLCG1,233,0.13280396,0.0005699741,1
UBE2N,82,0.13243735,0.0016150896,1
H2BC6,88,0.13201773,0.0015002015,1
MAPK1,1044,0.13028291,0.00024958412,2
TRAF6,322,0.1277219,0.0007933037,2
IGF1,243,0.12747167,0.0015737242,3
NUP85,93,0.12569807,0.0013515922,1
FOS,808,0.12208075,0.00060436013,4
PAK2,98,0.12138993,0.0012386728,1
IL1B,590,0.121291384,0.001027893,5
ITGB1,625,0.12006173,0.0009604938,5
PRKACG,187,0.119112834,0.000636967,1
FGG,85,0.118919045,0.0013990476,1
PPP2R1B,119,0.1185154,0.0009959277,1
ADCY5,114,0.11750073,0.0010307082,1
H2BC4,178,0.11748344,0.0013200387,2
RPA3,75,0.11666288,0.0015555051,1
GNB1,156,0.116085425,0.00074413733,1
KCNJ11,66,0.11483343,0.0017399004,1
PLCB2,234,0.114592746,0.0009794252,2
RAP1B,70,0.11429054,0.0016327221,1
FGB,158,0.112649605,0.0014259444,2
ROCK2,74,0.11239758,0.0015188862,1
H2AZ2,63,0.11223909,0.0017815729,1
CYP3A4,100,0.11223585,0.0011223585,1
FRS2,160,0.11125931,0.0013907413,2
CCNH,213,0.11119308,0.0015660996,3
MNAT1,67,0.11020707,0.0016448817,1
TBK1,65,0.106939405,0.0016452216,1
DRD1,630,0.10683399,0.0011870443,7
ABCC8,207,0.10678098,0.0015475507,3
FYN,4752,0.10535993,0.00059863593,27
PTPN6,78,0.104696795,0.0013422666,1
GNAI1,315,0.104453005,0.0009947907,3
BRAF,141,0.103944845,0.00073719746,1
GNAI2,297,0.10376843,0.001048166,3
RHOA,209,0.103495546,0.000495194,1
ADCY3,216,0.10330708,0.0009565471,2
PPP3R1,67,0.10220101,0.0015253882,1
CDK1,242,0.101316825,0.00083732913,2
