gene,GenNet_experiment_105,GenNet_experiment_143,GenNet_experiment_144,GenNet_experiment_145,GenNet_experiment_146,mean,std,cv,n_seeds,mean_rank
GLYATL3,0.01023953,0.010607856,0.0069660256,0.011283217,0.007961001,0.00941152592,0.0018509807045470603,0.1966716896155624,5,1818.8
NCR2,0.008588926,0.0079930695,0.011729851,0.010069079,0.008631875,0.009402560100000002,0.0015085713523739271,0.1604426173648097,5,1821.6
KIR2DL1,0.011049981,0.009963531,0.007952331,0.007473908,0.0105539635,0.0093987429,0.0015950865393590092,0.16971275375125,5,1801.6
CDK6,0.009415674,0.012140089,0.009077934,0.008224221,0.008044916,0.0093805668,0.0016453632249551161,0.1754012587976151,5,1813.6
CD2BP2,0.0105418805,0.010065138,0.0072049163,0.0076927245,0.011396908,0.009380313460000001,0.0018347469498140835,0.19559548384367992,5,1815.6
SLC2A9,0.008793612,0.008819559,0.00806518,0.009567709,0.0115921125,0.0093676345,0.0013522766439241455,0.14435625599228338,5,1812.2
IL37,0.008123955,0.0102066975,0.00819261,0.010215366,0.010070395,0.0093618047,0.0011004316284874086,0.11754481787976293,5,1808.8
STX1B,0.009354631,0.008763164,0.009029992,0.008473744,0.011165888,0.0093574838,0.0010620495312000286,0.11349734115489771,5,1809.4
WNT3,0.007983528,0.008677265,0.016130785,0.008379685,0.0055314973,0.00934055206,0.003994398924572854,0.4276405611696632,5,1926.2
CYB5A,0.008880352,0.010279316,0.007901098,0.008378447,0.0112257395,0.009332990499999999,0.0013824237560876548,0.1481222718578418,5,1811.8
DEFB1,0.0134067945,0.0090212375,0.009132236,0.006815529,0.008284376,0.0093320346,0.0024581787738874737,0.2634129511143769,5,1847.6
UNC13B,0.0071174763,0.011331645,0.006640307,0.012625814,0.008934111,0.00932987066,0.002605542659534119,0.2792688939092023,5,1858.0
RLBP1,0.008955137,0.008826958,0.00886544,0.013631797,0.0063511636,0.00932609912,0.002645195510684564,0.28363364753564446,5,1862.0
SLC36A4,0.0055619488,0.009778065,0.010580406,0.010655145,0.010000279,0.00931516876,0.002131118874872349,0.22877941664605428,5,1857.4
TRIM27,0.009453046,0.008116328,0.008831252,0.011530512,0.008616154,0.0093094584,0.0013310342779593617,0.1429765536048114,5,1822.0
CRHBP,0.0057953987,0.014521738,0.012883391,0.005648955,0.007654896,0.009300875739999999,0.004135999335098017,0.44468923687588335,5,1961.2
TNRC6C,0.012112771,0.010746457,0.00691225,0.009002671,0.0077210045,0.009299030699999999,0.002138158976744877,0.22993353239976694,5,1836.8
KIFC1,0.009927778,0.009768043,0.009786048,0.00805957,0.008891728,0.009286633400000001,0.000799041833439151,0.08604214240212724,5,1811.8
ANGPT2,0.0092205405,0.010308423,0.008505273,0.010359088,0.00791206,0.009261076900000002,0.0010834310730699717,0.1169875906191829,5,1821.4
CPNE8,0.011869687,0.0090944,0.0071154195,0.008866489,0.009323298,0.009253858700000001,0.0017026291496569212,0.18399126298059004,5,1831.4
PSMB7,0.009282012,0.0105630625,0.0074922843,0.011556365,0.0073727146,0.00925328768,0.0018478493121163852,0.1996965160945245,5,1838.6
CDK5R1,0.008838957,0.0061687976,0.009764357,0.012396748,0.009059754,0.009245722719999998,0.0022285338645319465,0.24103403617234445,5,1867.2
EVL,0.019433064,0.008346766,0.0035054972,0.0059319623,0.008960234,0.0092355047,0.006095125602701447,0.6599667046568064,5,2054.4
ARHGAP25,0.010403119,0.012459843,0.0059647136,0.011262964,0.006074553,0.00923303852,0.0030232404592969862,0.32743721936697673,5,1899.2
RARS1,0.009839661,0.00678427,0.009431676,0.010975041,0.0091090975,0.009227949099999999,0.0015373450695948354,0.16659661349831628,5,1849.8
SLU7,0.010402067,0.008588134,0.009248394,0.008876782,0.009017814,0.0092266382,0.00069924972279308,0.0757859696712807,5,1822.6
YY1AP1,0.00787585,0.008262575,0.011529157,0.010440574,0.007973113,0.0092162538,0.0016658380634043332,0.18075002051314312,5,1853.0
AHCYL1,0.011252535,0.0075227283,0.009493916,0.009734655,0.008032766,0.00920732006,0.001479911328449349,0.1607320391607359,5,1839.2
CDH9,0.009115955,0.009661773,0.010027962,0.009154905,0.0080682095,0.0092057609,0.0007397020167049027,0.08035207787168389,5,1828.8
PTCD3,0.008486683,0.010008617,0.01159125,0.0069229724,0.008994989,0.009200902280000001,0.0017398016617142578,0.1890903314445654,5,1852.4
PAX8,0.011037646,0.010639205,0.008581986,0.007626983,0.007994399,0.0091760438,0.0015616643296043808,0.17018928458083218,5,1833.8
CLDN10,0.009602498,0.010767405,0.009324987,0.008620144,0.007528769,0.009168760599999999,0.001199869926255884,0.13086500767136228,5,1837.2
ATP10A,0.0100767985,0.009229871,0.0073851165,0.009892203,0.009201866,0.009157171,0.0010645946251714193,0.11625802610559738,5,1836.2
RGS1,0.009648024,0.009689664,0.008786488,0.008996945,0.0086370995,0.0091516441,0.0004893580877581365,0.053472150185357024,5,1827.6
PPM1B,0.009372672,0.009047464,0.00916377,0.008487903,0.009647275,0.0091438168,0.00043178402211140255,0.04722142094003924,5,1830.6
MED16,0.010933625,0.0066569,0.01095112,0.009243226,0.007909763,0.0091389268,0.0018832926504847036,0.20607372087548656,5,1872.6
ATP8B1,0.009545158,0.009881232,0.0074313204,0.007943386,0.010837202,0.00912765968,0.0014093244955080118,0.15440151637073432,5,1839.4
CXCL6,0.0047864383,0.0058684153,0.024966735,0.004891078,0.005033551,0.009109243520000001,0.008874878005240144,0.974271681918999,5,2294.8
CRP,0.010235442,0.010356399,0.0072937645,0.008104448,0.009545765,0.0091071637,0.0013527589669787632,0.14853789956347915,5,1843.0
XCR1,0.007622361,0.007848037,0.013446308,0.009607456,0.006998433,0.009104519,0.0026131979899719614,0.287022081009657,5,1902.8
RAB44,0.00745022,0.00942054,0.009400768,0.0110509675,0.008196941,0.009103887299999999,0.001372652133449586,0.1507764857161167,5,1855.8
IQGAP2,0.012205009,0.00960767,0.008131952,0.009310754,0.0062638465,0.0091038463,0.002175088308738567,0.23891970899580844,5,1870.6
ACVR2A,0.009842261,0.009275604,0.007635578,0.010195663,0.008561066,0.009102034399999999,0.0010267943468666451,0.1128093239096795,5,1840.2
PDCD1LG2,0.0074067,0.008770531,0.010376423,0.011017981,0.007922906,0.0090989082,0.0015547721559726038,0.17087458426853935,5,1868.4
GLP2R,0.010510435,0.0063602794,0.007977425,0.011699102,0.0089160325,0.00909265478,0.002094306327408336,0.23032946681478825,5,1877.4
IRS1,0.0077984217,0.012187791,0.006324695,0.013251555,0.005801237,0.00907273994,0.0034294463061686382,0.377994556093122,5,1944.6
RSPO4,0.006158217,0.01063342,0.0074596517,0.00997393,0.011132255,0.00907149474,0.002155571730509597,0.23762034728464132,5,1885.2
CYTH1,0.0084206965,0.010336416,0.009335744,0.009246822,0.007999971,0.0090679299,0.0009044654564519309,0.09974332250318023,5,1850.8
CXXC4,0.0076113488,0.008744683,0.009020452,0.0075099706,0.012427107,0.00906271228,0.001996217865242532,0.22026715662681637,5,1877.0
NKD1,0.009801269,0.008836322,0.008476876,0.009515,0.00866921,0.0090597354,0.0005699312790712576,0.0629081594448396,5,1845.6
CCR3,0.009697486,0.009024938,0.008953476,0.009169004,0.00843451,0.009055882800000001,0.00045332106780206037,0.050058186243538874,5,1843.6
ABO,0.009831009,0.007202614,0.010376377,0.008378524,0.009449534,0.009047611600000002,0.0012641761102260634,0.13972484298796195,5,1872.0
PHF20,0.0067450786,0.009822928,0.013705647,0.0051468424,0.009807074,0.009045514,0.0032936616786224692,0.364121008338771,5,1956.6
ANP32A,0.010949167,0.007913915,0.010619536,0.008072425,0.007611202,0.009033249,0.0016113160197361966,0.17837613241218045,5,1868.8
ASB2,0.011123508,0.008592678,0.0070736,0.008960786,0.009401079,0.0090303302,0.0014615075174819322,0.16184430525939486,5,1859.0
SEC61G,0.006312283,0.009513524,0.0063408804,0.007101907,0.01587276,0.00902827088,0.0040432671646435355,0.44784513207290205,5,1972.0
IRF4,0.009424273,0.009317312,0.008654005,0.009646615,0.008096822,0.0090278054,0.000638432216539313,0.070718429147721,5,1849.6
SPAM1,0.0076593687,0.0081572095,0.011412003,0.006569325,0.0113120675,0.00902199474,0.0022122818999102405,0.2452098414668595,5,1896.6
SF3B4,0.0113848625,0.005684179,0.010958038,0.011327907,0.005739567,0.0090189107,0.0030234060731506446,0.335229627359615,5,1941.6
WDR77,0.0061855298,0.0120420605,0.006719786,0.009857205,0.010265744,0.00901406506,0.002485491381706104,0.27573479502999104,5,1916.2
MOCS3,0.0114943,0.008727566,0.009295942,0.008604257,0.0069416557,0.009012744139999999,0.0016413345298559488,0.182112629001798,5,1870.2
HAO1,0.009968668,0.0067819934,0.0065961895,0.010313557,0.011316199,0.00899532138,0.002163693384250775,0.2405354175628992,5,1905.4
RORC,0.008649063,0.01084758,0.0075440994,0.007378768,0.010552787,0.00899445948,0.0016352172921230536,0.1818027304207783,5,1871.2
IYD,0.007639729,0.011030288,0.006466678,0.011662271,0.008159014,0.008991596,0.0022463703003749182,0.24982998573055534,5,1895.0
ENG,0.006685696,0.0103100035,0.0093196845,0.012219708,0.006413568,0.008989731999999999,0.0024611955067982967,0.27377851829156835,5,1914.2
RNF40,0.010852192,0.0061999187,0.008075445,0.01194747,0.007865485,0.008988102139999999,0.0023505248525733987,0.2615151470200581,5,1901.0
KCTD3,0.00950726,0.0086659035,0.008272287,0.009945805,0.008543119,0.0089868749,0.0007072703503995485,0.07870036673143725,5,1855.2
GP6,0.010723179,0.008946672,0.00795822,0.009467152,0.007837268,0.0089864982,0.0011860396822974345,0.13198018359336394,5,1860.4
IGFBP4,0.007530853,0.01021642,0.0058202706,0.010919158,0.010431451,0.00898363052,0.002206786644434675,0.2456453033683619,5,1899.2
LGR5,0.0084998,0.009935326,0.010505677,0.0070251552,0.008938921,0.00898097584,0.0013503731919005306,0.15035929457533542,5,1874.8
LRP5,0.009929858,0.01028182,0.0055673034,0.009933229,0.0091522075,0.00897288358,0.0019481729484663783,0.2171178229492172,5,1891.4
NCAM1,0.012975847,0.009690018,0.0030334548,0.0075701443,0.01158988,0.008971868820000001,0.0038933004877660534,0.4339453201864863,5,2001.2
IL36A,0.008141104,0.010048028,0.0087650735,0.008487796,0.009309941,0.0089503885,0.0007478912595488066,0.08355964208132492,5,1866.0
MAPKAPK5,0.012266066,0.00808601,0.006093492,0.009935576,0.008370671,0.008950363,0.00230268277633351,0.25727255713913616,5,1902.8
PRKG1,0.010747344,0.009972983,0.0077108047,0.009378221,0.006936189,0.008949108340000001,0.001585193100022937,0.17713419480436604,5,1876.2
SEMA7A,0.009171618,0.010971591,0.008256989,0.006485614,0.009824926,0.008942147599999999,0.0016922318485412392,0.18924221833927674,5,1883.6
FGFBP3,0.01425215,0.0075921286,0.0068317684,0.004298066,0.01166706,0.0089282346,0.003983216376041061,0.44613706454813146,5,2008.6
CLCA2,0.008472843,0.008975783,0.00824741,0.010727407,0.008180105,0.0089207096,0.0010570714960270186,0.11849634652685237,5,1871.0
TXN,0.009236527,0.012051919,0.010616151,0.0064867972,0.0062028016,0.00891883916,0.002553902428257287,0.2863491966209296,5,1931.0
DNM2,0.012270559,0.009509005,0.006691909,0.007478618,0.008580875,0.0089061932,0.002163862097252549,0.24296150427688326,5,1896.8
ANO6,0.009981318,0.008301219,0.00899939,0.008175778,0.009034209,0.0088983828,0.0007211383638856691,0.08104150833853417,5,1871.2
RUFY1,0.011158449,0.0061737197,0.011373988,0.009387289,0.0063849413,0.0088956774,0.002510811133554552,0.282250695551814,5,1935.4
KEAP1,0.008958111,0.01028156,0.0063066185,0.009007187,0.009843806,0.008879456499999999,0.0015441713933455543,0.1739038187016913,5,1892.4
LTF,0.010191036,0.008048652,0.0112049235,0.0077542462,0.0071607893,0.0088719294,0.0017347842479354155,0.19553629990962454,5,1901.2
DDHD1,0.012099323,0.0066693476,0.008928909,0.008522923,0.008103005,0.00886470152,0.0019989667142512784,0.22549735146088465,5,1907.8
SNX5,0.008173415,0.007779347,0.0071347933,0.011610688,0.009617067,0.00886306206,0.0017857026670987717,0.2014769449892323,5,1907.0
CADM1,0.008885361,0.008873059,0.008754698,0.009135757,0.008643639,0.008858502800000001,0.00018353816111152458,0.020718869232792314,5,1873.6
DOCK4,0.009141392,0.009345482,0.0079823015,0.007978447,0.009841267,0.008857777899999999,0.00084042025429933,0.09487935504674712,5,1870.8
ALDH1L2,0.011238189,0.007986024,0.0064163464,0.008338906,0.010281903,0.00885227368,0.0019159924649663458,0.21644071729223197,5,1900.8
NLN,0.006385881,0.009265811,0.011634875,0.009893175,0.0070542847,0.00884680534,0.002139688440493353,0.24186001141213684,5,1927.4
IDUA,0.009395157,0.011330395,0.0067096623,0.007608366,0.009141871,0.00883709026,0.0017788065763580053,0.20128871880029947,5,1899.4
CNEP1R1,0.0115373,0.0063332887,0.008351205,0.0075703654,0.010385406,0.008835513020000001,0.0021093897483027077,0.23873992868641683,5,1913.0
SLC38A3,0.012100448,0.0066758264,0.0078098406,0.0072195632,0.010353733,0.00883188224,0.002307177412391355,0.26123280968829526,5,1923.6
PTPRF,0.0079825185,0.009359799,0.006304739,0.010486316,0.009955802,0.0088178349,0.0016871520291703265,0.1913340460899678,5,1910.6
IL1F10,0.0067275553,0.010808823,0.0035663364,0.011345799,0.011617676,0.00881323794,0.0035405206513997286,0.40172756885759614,5,2011.2
FAN1,0.010634268,0.0054441215,0.011928962,0.011088674,0.004967107,0.0088126265,0.0033296082008715377,0.3778224574559625,5,2003.0
IGFBP1,0.015634453,0.007143536,0.0059503163,0.006694995,0.008532432,0.00879114646,0.0039394341199386436,0.44811380834834186,5,1997.4
PTPN22,0.010716436,0.007876935,0.0063534775,0.010520356,0.008360093,0.0087654595,0.001847797742179254,0.21080443554376746,5,1920.2
CDH18,0.009821504,0.0093325665,0.008335391,0.007165683,0.009035047,0.008738038299999999,0.0010307766379268112,0.11796430760973105,5,1896.8
TBPL2,0.01032346,0.009244514,0.008875854,0.007808794,0.007390699,0.008728664200000001,0.001169129115874376,0.13394135564000453,5,1901.2
PDE8B,0.0077964454,0.008907047,0.0074644242,0.010293813,0.009174458,0.00872723752,0.0011344126005548036,0.12998530152927515,5,1902.6
KLF4,0.009345859,0.008550211,0.00978046,0.008178079,0.0077600772,0.008722937239999999,0.0008306910104408184,0.09523065311436524,5,1901.8
RCHY1,0.008549499,0.007410728,0.018914692,0.0030618191,0.0056582023,0.00871898808,0.006063510119328338,0.6954373676960387,5,2189.2
GALNT3,0.006920069,0.008633953,0.010940907,0.009880232,0.0072112437,0.00871728094,0.001717704172274454,0.19704586603290705,5,1930.6
MYO19,0.008569328,0.011438236,0.006179169,0.010375852,0.006991752,0.008710867399999999,0.002213345948294979,0.25409018949077095,5,1943.2
SLC2A13,0.008425153,0.007480147,0.009380424,0.009767718,0.008471081,0.0087049046,0.0008970596963654648,0.1030522145372466,5,1916.6
DLL3,0.0113543,0.009487719,0.0072616255,0.0068319915,0.008583882,0.0087039036,0.0018191752163235063,0.20900682037924986,5,1914.0
ATP6V0A1,0.00868297,0.00942762,0.010834375,0.007420001,0.0071276682,0.00869852684,0.0015162364100145557,0.17430956274597822,5,1923.8
GTF2A1,0.008975317,0.01103003,0.008948052,0.007560322,0.0069670742,0.00869615904,0.0015706840112840988,0.18061813313893796,5,1918.4
SLC22A11,0.0068766484,0.0066325776,0.010128584,0.008070856,0.011754081,0.0086925494,0.002200150793263698,0.25310765484561965,5,1954.4
OSBP,0.010874612,0.008315207,0.00903989,0.00945136,0.005780587,0.0086923312,0.0018761495327661653,0.21583962801212236,5,1934.2
CHRM5,0.014754654,0.0077171456,0.0058174776,0.0054255235,0.009711705,0.00868530114,0.0037973160354211983,0.4372117873878577,5,2022.8
PIK3R5,0.00858465,0.007517717,0.003755543,0.008312167,0.015248677,0.0086837508,0.004150090915966565,0.47791455691779694,5,2052.2
COL9A1,0.009052906,0.0077899955,0.008547438,0.007952857,0.009974812,0.008663601699999999,0.0008877879976772042,0.10247331634338688,5,1908.8
RAG2,0.005393031,0.010646139,0.0110047525,0.007934914,0.008291292,0.0086540257,0.002279101560697537,0.263357382992003,5,1964.0
CPSF2,0.006524653,0.0060123005,0.008394165,0.015840182,0.0064582187,0.00864590384,0.004124395368943618,0.47703461029282257,5,2041.0
IVL,0.008446254,0.008611483,0.009636248,0.008215626,0.0083011715,0.008642156500000001,0.000575702961850988,0.06661566032170187,5,1914.4
IL26,0.009592831,0.0067863525,0.009093411,0.009380644,0.008314586,0.008633564899999998,0.0011405829931782914,0.13211031669875925,5,1933.2
DAB2,0.010182472,0.009191305,0.0072845733,0.007415359,0.009068118,0.00862836546,0.0012452602540314447,0.14432168639637624,5,1919.0
SLC39A8,0.010030735,0.008391064,0.0077581042,0.008776753,0.008173485,0.008626028240000002,0.0008673544189408899,0.10055084388883125,5,1913.0
POLD3,0.008260241,0.0071634706,0.007775111,0.013443585,0.006470294,0.00862254032,0.002777270140173568,0.32209419000705447,5,1984.4
PDE4A,0.008436877,0.009803733,0.0071763713,0.009329557,0.008357568,0.00862082126,0.0010113308052282837,0.11731258249382656,5,1921.6
GALNT2,0.010609775,0.008190751,0.010029209,0.006386655,0.007867475,0.008616773,0.0017090495134220076,0.1983398557002729,5,1943.8
DGKB,0.008959246,0.00793549,0.008790524,0.009660276,0.0077345464,0.00861601648,0.0007872171102947091,0.09136671362247778,5,1921.4
ECE1,0.016412564,0.008387138,0.0054152063,0.0048499834,0.008004886,0.008613955539999999,0.004627099220475173,0.5371631184986558,5,2070.6
IQCE,0.01576342,0.00710011,0.008416312,0.003397144,0.008368196,0.0086090364,0.004492244226396512,0.5218056955127419,5,2088.2
TNS3,0.009499648,0.007986725,0.008661391,0.0090696905,0.007744386,0.0085923681,0.0007317162800068409,0.08515886092063968,5,1922.4
RRAGD,0.010071848,0.0129908165,0.0044393293,0.00939111,0.0060452824,0.00858767724,0.0033877892696194374,0.39449424738969785,5,2025.0
SLC25A2,0.009228101,0.010117921,0.0071290303,0.008535492,0.007910322,0.00858417326,0.001155520606048736,0.1346105875370852,5,1925.0
HCRTR1,0.006754609,0.007667917,0.0077939737,0.0102551,0.010401004,0.00857452074,0.0016510338058794369,0.19255114728189893,5,1948.6
PDP2,0.006109842,0.009168527,0.0096642235,0.009409359,0.008483702,0.0085671307,0.0014422089597140387,0.16834212179277697,5,1948.8
TJP2,0.0067758383,0.008245064,0.0074130846,0.0139564965,0.0064393627,0.00856596922,0.0030909922138904907,0.36084558962383134,5,1995.8
PPIF,0.008465088,0.007936111,0.007519399,0.010228693,0.0086517865,0.0085602155,0.0010336896380074632,0.12075509524350915,5,1931.4
CXCR6,0.007707287,0.005191982,0.006353095,0.016253188,0.007216243,0.008544358999999998,0.004413918204433165,0.5165885708258707,5,2075.6
EIF3E,0.012619064,0.006832455,0.0032067334,0.01250765,0.007540573,0.00854129508,0.004023036730333956,0.4710101562647284,5,2086.8
GPR39,0.01063121,0.009037657,0.0066710683,0.009134589,0.0072228597,0.0085394768,0.001597037940464141,0.18701824220239593,5,1943.8
STIM1,0.008413611,0.010057212,0.007256235,0.008061378,0.008907277,0.008539142599999999,0.00104042380132199,0.12184171761249077,5,1929.6
BMP7,0.018344285,0.007883054,0.005292918,0.005561055,0.005578669,0.0085319962,0.005584406822200965,0.6545252355129936,5,2131.4
RNF34,0.005023415,0.0073013892,0.024385411,0.0028419972,0.0030912333,0.00852868914,0.009043412399601845,1.0603519780299842,5,2477.2
DEFB124,0.0073422696,0.006858641,0.010845929,0.008208004,0.009363517,0.00852367212,0.0016098061487322542,0.18886298370804228,5,1963.4
MRPS5,0.010530117,0.0059012882,0.007280604,0.011834821,0.007046989,0.008518763839999999,0.0025294325607568844,0.2969248365449329,5,1984.2
TUFM,0.0068703433,0.0053680087,0.0095189465,0.009366751,0.0114689935,0.0085186086,0.0024014501208679245,0.2819063809162361,5,1994.6
QRFPR,0.008996353,0.0068444787,0.006924738,0.0063302526,0.013482866,0.00851573766,0.0029582125696126903,0.3473818344014945,5,2009.2
PTPRS,0.0068019764,0.008953394,0.009842763,0.009084783,0.007893378,0.00851525888,0.0011832856777254477,0.13896062285371735,5,1948.4
STK38,0.010992557,0.0074568475,0.005926147,0.0062353257,0.011962423,0.00851466004,0.00278575729983158,0.32717187612244114,5,2001.0
UBE3C,0.008953027,0.008578222,0.0081428625,0.0058642016,0.011006633,0.00850898922,0.001841815511232719,0.2164552643812985,5,1961.4
E2F6,0.008784267,0.006495188,0.011055183,0.008886064,0.007309039,0.008505948199999998,0.0017461597619005827,0.20528690286411372,5,1969.6
HTR3E,0.009741958,0.007886012,0.008503742,0.0060027586,0.010359156,0.00849872532,0.0017038282233426915,0.20048044373584853,5,1960.4
SLC35D2,0.017393421,0.011475992,0.0036044396,0.0054279743,0.004575178,0.00849540098,0.005847166856170021,0.6882743816254829,5,2207.6
FAR1,0.008385033,0.008791709,0.008568266,0.00877253,0.007909975,0.0084855026,0.00036205076543808075,0.0426669794948953,5,1936.0
ZNF423,0.009557637,0.008318798,0.0075463816,0.008669223,0.008260756,0.00847055912,0.0007318398953290074,0.0863980623901256,5,1934.4
COL4A2,0.008470842,0.0068096495,0.012977143,0.0070998194,0.006989467,0.008469384180000001,0.0026048259758953787,0.30755789565509806,5,2013.6
ACER2,0.011018603,0.0091106,0.007240521,0.0070307944,0.00791302,0.008462707679999999,0.0016430640441615818,0.19415346793138694,5,1950.0
ADAMTS16,0.011182362,0.0071695363,0.008328307,0.008271517,0.0073471116,0.008459766779999999,0.0016099643339602594,0.19030835906332863,5,1956.6
EPS15L1,0.013815112,0.00819035,0.00685235,0.007844977,0.0055924496,0.00845904772,0.0031597297443937814,0.3735325593356248,5,2014.2
NAGLU,0.008682359,0.006077826,0.006823476,0.011969357,0.008671325,0.0084448686,0.0022782398527414318,0.26977801084334596,5,1991.6
SORBS1,0.012225635,0.0075396798,0.006870225,0.0080462545,0.00753629,0.00844361686,0.002155079130848041,0.2552317527643055,5,1973.0
CDH17,0.015357123,0.0049601286,0.0026100648,0.0059925355,0.013042811,0.008392532579999999,0.005502475029351337,0.6556394004908752,5,2230.4
SLC39A6,0.005997592,0.008350513,0.008329941,0.010607097,0.008674697,0.008391968000000001,0.0016374778219270631,0.1951244120481707,5,1975.0
EED,0.010396691,0.0077152415,0.007935242,0.010395941,0.005488335,0.008386290099999999,0.0020695593064879295,0.24677888336917056,5,1994.4
CXCL11,0.0067879898,0.008567169,0.0058245542,0.015488426,0.0052623716,0.00838610212,0.0041638015324587324,0.4965121426948152,5,2092.2
KCNA4,0.007515218,0.008908745,0.005891293,0.013341054,0.006255832,0.0083824284,0.0030143489642004456,0.35960330591078427,5,2032.0
CTH,0.0089693675,0.009125004,0.008123456,0.008261847,0.007384576,0.0083728501,0.0007022772422347177,0.08387553029699142,5,1948.8
DDX17,0.0059873774,0.010500708,0.008418553,0.009260444,0.0076682335,0.00836706318,0.001695913326367495,0.2026891980953698,5,1984.8
HSPA4L,0.006465044,0.0069523817,0.007928646,0.010724632,0.009756986,0.008365537939999999,0.0018235415288299355,0.21798257827636314,5,1995.0
CISH,0.009148175,0.007852814,0.008532258,0.009601859,0.006677438,0.0083625088,0.0011490569477970623,0.1374057684455964,5,1967.6
MED24,0.010294246,0.008840789,0.006796107,0.007456527,0.0084015615,0.0083578461,0.0013450087908700818,0.16092768098111807,5,1970.6
NUBPL,0.006689328,0.008607688,0.007936198,0.00825282,0.010300639,0.0083573346,0.0013047637881113963,0.15612199948430883,5,1969.2
VAC14,0.008777087,0.0067048753,0.0095275305,0.007573095,0.009179617,0.00835244096,0.0011797491912303576,0.14124603776072156,5,1975.8
MCOLN2,0.0069291927,0.007824064,0.0070502656,0.008704088,0.011210596,0.008343641260000001,0.0017530542767881369,0.21010662157688892,5,1984.2
BABAM2,0.0062180627,0.008212749,0.009181179,0.008464277,0.009638615,0.00834297654,0.0013160731575576862,0.15774623735879356,5,1982.2
CDK2,0.010674552,0.012127509,0.00641358,0.006647868,0.005847512,0.0083422042,0.002854042498162247,0.3421209107015442,5,2027.4
MTHFD1L,0.009313356,0.008851965,0.0052432464,0.010332539,0.007942356,0.00833669248,0.0019318184853841863,0.23172481053111682,5,1993.0
GLRA3,0.008313957,0.010247311,0.0090639405,0.007478689,0.0065175192,0.008324283339999999,0.0014339335038794608,0.17225909370349005,5,1981.0
CACNG2,0.009455124,0.010001994,0.009201016,0.00756777,0.0053099045,0.0083071617,0.001905223102811965,0.22934705879289255,5,1999.8
TLL2,0.012586803,0.0065785265,0.007439976,0.005962323,0.008862421,0.0082860099,0.002639122239290329,0.3185033895856592,5,2028.6
ETV6,0.008228782,0.009189916,0.006421911,0.009128945,0.008446739,0.0082832586,0.0011215526689903152,0.1353999341503494,5,1980.8
CFB,0.009074473,0.008423913,0.007149547,0.008104895,0.008639651,0.008278495799999999,0.00072281075916259,0.08731184705832552,5,1965.2
ANK2,0.016481096,0.005805259,0.003825423,0.0051565506,0.010106838,0.008275033320000002,0.005155548582844488,0.6230245104130272,5,2191.6
GNA12,0.012994956,0.008685331,0.0072104363,0.006731849,0.005743793,0.00827327306,0.0028446423772108802,0.3438351854919775,5,2033.0
CRNKL1,0.012788241,0.008501267,0.006887238,0.006934653,0.0062415125,0.008270582299999999,0.002658849768260366,0.3214827773686946,5,2026.0
ST6GAL2,0.008562116,0.008884294,0.0076010725,0.008968614,0.0072694,0.0082570993,0.0007743679062373709,0.09378207504872456,5,1973.4
KDM4B,0.007512523,0.008342593,0.013252276,0.005846537,0.0062565072,0.00824208724,0.0029717648732075336,0.36055974496182763,5,2063.2
ACOX2,0.0077158147,0.010471206,0.004922341,0.011920957,0.006173332,0.00824073014,0.0029189240344690364,0.35420696769340354,5,2053.6
RAB23,0.008382986,0.010193024,0.004462822,0.008605171,0.009537532,0.008236307000000002,0.0022315181123775357,0.27093673322006273,5,2027.4
YAF2,0.010398175,0.010552179,0.00593994,0.010075149,0.0042127026,0.00823562912,0.002953005576508191,0.35856466257530917,5,2066.0
ELOVL6,0.013667579,0.0055745593,0.0028424566,0.0055089416,0.013581845,0.008235076300000001,0.005042086112301836,0.6122695077277954,5,2220.6
CDC5L,0.005697902,0.005991024,0.009121903,0.011425005,0.008926657,0.0082324982,0.002393396200603172,0.29072538401565295,5,2045.6
DEFA5,0.008013388,0.013123866,0.0075018886,0.006267662,0.0062078573,0.00822293238,0.0028489723219283355,0.3464667092310852,5,2046.8
NOTCH2,0.011783191,0.0075724656,0.0049382364,0.00953458,0.0072757853,0.00822085166,0.0025741630473525585,0.3131260791236024,5,2037.8
DPYSL4,0.006243768,0.008734583,0.0069090035,0.009709688,0.00950432,0.0082202725,0.0015618617282899916,0.19000121082238958,5,2010.4
ENTPD5,0.0096173715,0.013190989,0.0032850953,0.0064443913,0.008497,0.008206969419999998,0.0036825714324590954,0.44871270306976435,5,2109.8
ETNPPL,0.008208308,0.009445531,0.0065833977,0.008940195,0.007833392,0.00820216474,0.0011008049468892015,0.1342090755042798,5,1995.4
BCL2L14,0.009863388,0.008339391,0.00984922,0.005912109,0.0070432727,0.00820147614,0.0017377189414088802,0.21187880227240166,5,2012.6
SLC1A7,0.008484297,0.0060457843,0.0069106324,0.007859125,0.011679288,0.00819582534,0.002156704226818299,0.26314667984594936,5,2024.8
SUMF1,0.014602322,0.0063935965,0.006174638,0.008613627,0.0051895576,0.008194748219999999,0.0037943584655518894,0.46302319042474377,5,2105.8
ANK3,0.0085909525,0.008616412,0.0080724815,0.008285738,0.0073952964,0.00819217608,0.0004992736220547379,0.06094517710302167,5,1978.8
SKI,0.007495375,0.008344139,0.010915456,0.007802841,0.006397088,0.008190979800000001,0.0016806839278153106,0.2051871654982363,5,2013.0
