gene,GenNet_experiment_105,GenNet_experiment_143,GenNet_experiment_144,GenNet_experiment_145,GenNet_experiment_146,mean,std,cv,n_seeds,mean_rank
TRAF6,0.14202464,0.13745698,0.14461166,0.13067162,0.1277219,0.13649735999999998,0.007215634136927958,0.052862810950541156,5,43.2
CALM3,0.17715316,0.11423734,0.07732861,0.09530486,0.21720786,0.136246366,0.05886432582040399,0.43204327240848384,5,65.0
PRKACG,0.14216012,0.14929453,0.12664348,0.13928917,0.119112834,0.13530002680000003,0.012204315581409768,0.09020187113081758,5,42.6
CACNA2D2,0.12812245,0.13539365,0.14224985,0.13243046,0.13571908,0.13478309800000002,0.005169631486321829,0.03835519114067128,5,44.6
FGG,0.13114484,0.13233207,0.14998621,0.13695584,0.118919045,0.133867601,0.011209118895080694,0.08373287346114983,5,44.6
CYP2C8,0.13068777,0.12493726,0.12762514,0.14004655,0.14462297,0.133583938,0.008400679801127403,0.06288690037815327,5,43.8
IFNG,0.13375957,0.13079055,0.13075036,0.13498203,0.13581528,0.13321955800000002,0.0023522708092118126,0.017657098135784328,5,44.2
PLCG1,0.13208117,0.14743768,0.12150401,0.12981512,0.13280396,0.132728388,0.009370988012673474,0.07060274108560313,5,46.2
UBE2N,0.14145833,0.124592796,0.12714338,0.13171001,0.13243735,0.13146837320000002,0.006457082724828694,0.049115103257615214,5,47.0
IGF1,0.13051812,0.13892607,0.13171422,0.12751952,0.12747167,0.13122992,0.004686775057942298,0.0357142262827128,5,48.2
ADCY5,0.12107393,0.14034656,0.14659314,0.12131927,0.11750073,0.129366726,0.013149524407830503,0.10164533659010977,5,49.8
NUP85,0.13694844,0.13646612,0.12033037,0.117514685,0.12569807,0.127391537,0.008999480080637716,0.07064425386937373,5,50.8
BRAF,0.13414127,0.13871275,0.11433237,0.13299376,0.103944845,0.12482499900000002,0.014937095466103174,0.11966429469871794,5,53.6
ATP1A4,0.050025184,0.061033137,0.05230955,0.3965287,0.047827017,0.1215447176,0.15380238413625671,1.2653975193098537,5,207.6
FRS2,0.12410041,0.11761189,0.121081635,0.13295573,0.11125931,0.121401795,0.008032929434712779,0.06616812737169808,5,56.6
IL1B,0.12568702,0.12323413,0.11551358,0.118253365,0.121291384,0.12079589580000001,0.00401500042310374,0.03323788773214048,5,57.0
GRB2,0.16639517,0.09885569,0.088691,0.11343973,0.13497764,0.12047184600000001,0.0310084697095363,0.2573918366747389,5,65.8
MAPK1,0.11659979,0.1149347,0.10878737,0.13057289,0.13028291,0.12023553199999999,0.009749213148455626,0.08108429335560828,5,59.2
PTPN6,0.13052356,0.11821048,0.12227581,0.124572985,0.104696795,0.120055926,0.009672275385799485,0.08056474768100565,5,58.8
RPA3,0.12260658,0.11260246,0.113971,0.12398844,0.11666288,0.11796627200000001,0.00510466634526881,0.04327225281196315,5,61.0
PPP2R1B,0.15085152,0.11772899,0.093458354,0.103262015,0.1185154,0.1167632558,0.021745196935523903,0.18623321854582872,5,64.2
ITGB1,0.11717962,0.11579814,0.11568836,0.10403045,0.12006173,0.11455165999999999,0.006140209774734901,0.053602102097297426,5,62.6
GNB1,0.13325572,0.093523525,0.11172964,0.10880496,0.116085425,0.112679854,0.014299010686051586,0.12689944278816323,5,67.4
